COUNT    | LINE
       7 | Missing item (Daidoji Tametaka)
       7 | Missing item (Daigotsu Susaiken)
       7 | Missing item (Foothold of the Mad)
       7 | Missing item (Gaining an Edge)
       7 | Missing item (Game of Sincerity)
       7 | Missing item (Goju Yurishi • Experienced 2)
       7 | Missing item (Harbingers of War)
       7 | Missing item (Humble Farm)
       7 | Missing item (Into the Darkness)
       7 | Missing item (Isawa Akime)
       7 | Missing item (Kolat Duplicate)
       7 | Missing item (Longtooth - exp)
       7 | Missing item (Mercantile Conflict)
       7 | Missing item (Moto Alagh)
       7 | Missing item (Moto Shunsuke)
       7 | Missing item (Mumoku no Oni)
       7 | Missing item (Outer Walls)
       7 | Missing item (Overlooked Palace)
       7 | Missing item (Power of Strength)
       7 | Missing item (Reckless Rush)
       7 | Missing item (Red Crane Dojo)
       7 | Missing item (Remote Village)
       7 | Missing item (Resurrection)
       7 | Missing item (Shadowlands Sickness)
       7 | Missing item (Shinjo Ki-Chang - exp)
       7 | Missing item (Surprising Resistance)
       7 | Missing item (The Great Death)
       7 | Missing item (The Path of Wisdom)
       7 | Missing item (The Samurai Caste Divides)
       7 | Missing item (The Shadowed Estate of the Scorpion)
       7 | Missing item (The Thrill of Daring)
       7 | Missing item (The Thundering Death)
       7 | Missing item (The Toil of Zokujin)
       7 | Missing item (Thousand Year Rivalry)
       7 | Missing item (Unguarded Attack)
       7 | Missing item (Utaku Lishan)
       7 | Missing item (Village Guardian)
       7 | Missing item (War Encampment)
       7 | Missing item (Way of the Crab)
       7 | Missing item (Way of the Dragon)
       7 | Missing item (Wide Valley)
       7 | Missing item (Yama-no-kami's Pyre)
       6 | Missing item (Akodo Kenaro - exp)
       6 | Missing item (Aranai Sensei)
       6 | Missing item (Besieged)
       6 | Missing item (Bridging the Gap)
       6 | Missing item (Building Contract)
       6 | Missing item (Daidoji Ujirou)
       6 | Missing item (Daigotsu Bukaro)
       6 | Missing item (Family Keep)
       6 | Missing item (Formal Apology)
       6 | Missing item (Fortress of Lidless Eyes)
       6 | Missing item (Goju Kumoru)
       6 | Missing item (Goju Mitsuru)
       6 | Missing item (Hamstrung)
       6 | Missing item (Help from the Shadows)
       6 | Missing item (House of Disgrace)
       6 | Missing item (Ikoma Kiyomako)
       6 | Missing item (Ikoma Shungo)
       6 | Missing item (Imperial Command)
       6 | Missing item (Impromptu Duel)
       6 | Missing item (Indecision)
       6 | Missing item (Isawa Kaisei)
       6 | Missing item (Isawa Shunryu, Master of the Void • Experienced)
       6 | Missing item (Justly Earned Victory)
       6 | Missing item (Kitsu Junsuke)
       6 | Missing item (Know Their Minds)
       6 | Missing item (Knowledge)
       6 | Missing item (Look Into the Soul)
       6 | Missing item (Maga-yari)
       6 | Missing item (Mark of Heaven's favor)
       6 | Missing item (Mastery of Chikujo)
       6 | Missing item (Matsu Karoko)
       6 | Missing item (Moshi Hikaze)
       6 | Missing item (My Father's Shrine)
       6 | Missing item (Mystic Dojo)
       6 | Missing item (Nightingale Blade)
       6 | Missing item (Ninja Tricks)
       6 | Missing item (Ninube Tsukau)
       6 | Missing item (P'an Ku's Madness)
       6 | Missing item (Reconnaissance Scouts)
       6 | Missing item (Riverside Port)
       6 | Missing item (School of Wizardry)
       6 | Missing item (Selfless Politics)
       6 | Missing item (Shinjo Horibe)
       6 | Missing item (Shinjo Tsung-min)
       6 | Missing item (Shinobi Assault)
       6 | Missing item (Strategic Withdrawal)
       6 | Missing item (Suiteiru no Oni)
       6 | Missing item (Suspicions)
       6 | Missing item (Tadatsugu)
       6 | Missing item (The Crimson Mountain Oni)
       6 | Missing item (The Dragon's Talon)
       6 | Missing item (The Esoteric Enigma of the Dragon)
       6 | Missing item (The Khan)
       6 | Missing item (The Topaz Championship)
       6 | Missing item (The Unquiet Moto)
       6 | Missing item (The Victor)
       6 | Missing item (Toshigoku's Blade)
       6 | Missing item (Trained Horsemen)
       6 | Missing item (Treachery and Deceit)
       6 | Missing item (Ugulu no Oni)
       6 | Missing item (Unexpected Valor)
       6 | Missing item (Utaku Elite Guard)
       6 | Missing item (Vast Paddy Fields)
       6 | Missing item (Venerable Master)
       6 | Missing item (Victory through Deference)
       6 | Missing item (Warrior Challenge)
       6 | Missing item (Way of the Lion)
       6 | Missing item (Young Battlecat)
       5 | Missing item (Akenohoshi, The Dancer)
       5 | Missing item (Akodo Kano, Master Tactician)
       5 | Missing item (Akodo Shaido)
       5 | Missing item (Asako Hiribe)
       5 | Missing item (Asako Kazuki)
       5 | Missing item (Barracks of the Asp)
       5 | Missing item (Bayushi Mifuyu)
       5 | Missing item (Bayushi Saikaku)
       5 | Missing item (Bayushi Shizuka)
       5 | Missing item (Binasa)
       5 | Missing item (Burning Spirit)
       5 | Missing item (Castle Gate)
       5 | Missing item (Cavalry Escort)
       5 | Missing item (Chagatai's Armor)
       5 | Missing item (Charge Into Danger)
       5 | Missing item (Clearing Crew)
       5 | Missing item (Daigotsu Oki)
       5 | Missing item (Daigotsu's Guidance)
       5 | Missing item (Dazzling Attire)
       5 | Missing item (Delayed Arrival)
       5 | Missing item (Demented Craftsman)
       5 | Missing item (Discovering the Shakuhachi of Air)
       5 | Missing item (Earthborn Temple)
       5 | Missing item (Endless Drills)
       5 | Missing item (Expendable Resources)
       5 | Missing item (Fearless Defense)
       5 | Missing item (Final Duty)
       5 | Missing item (First and Final Strike)
       5 | Missing item (Forging Destiny)
       5 | Missing item (Governor's Court)
       5 | Missing item (Great Sacrifice)
       5 | Missing item (Gyushi Kageto)
       5 | Missing item (Hand of the Obsidian Dragon)
       5 | Missing item (Hidden Strength)
       5 | Missing item (Honed to a Razor's Edge)
       5 | Missing item (House of No Tomorrow)
       5 | Missing item (House of Prophecy)
       5 | Missing item (Imperial Adjudication)
       5 | Missing item (Inexorable Defeat)
       5 | Missing item (Isawa Nairuko)
       5 | Missing item (Isawa Uzuyumi • Experienced)
       5 | Missing item (Iuchi Wattu)
       5 | Missing item (Kabuki Theater Troupe)
       5 | Missing item (Kaiu Burei)
       5 | Missing item (Kaiu Eichi)
       5 | Missing item (Kaiu Otogou)
       5 | Missing item (Kakita Ujirou • Experienced)
       5 | Missing item (Kano's Tessen)
       5 | Missing item (Kitsune Den)
       5 | Missing item (Kokujin Gunjao)
       5 | Missing item (Kuon's Legacy)
       5 | Missing item (Marshall the Ranks)
       5 | Missing item (Matsu Ataruko)
       5 | Missing item (Matsu Chizuki)
       5 | Missing item (Matsu Kaori)
       5 | Missing item (Modifications)
       5 | Missing item (Moto Tetsuo)
       5 | Missing item (Ninube Hajime)
       5 | Missing item (Omigawa)
       5 | Missing item (On Storm-Borne Wings)
       5 | Missing item (Oneiyara)
       5 | Missing item (Oppression)
       5 | Missing item (Ordered Retreat)
       5 | Missing item (Preparedness)
       5 | Missing item (Purveyor of Questionable Goods)
       5 | Missing item (Renyu's Wrath)
       5 | Missing item (Retired Sensei)
       5 | Missing item (Rising Sun Blade)
       5 | Missing item (Rocky Terrain)
       5 | Missing item (Sacrifice of Pawns)
       5 | Missing item (Saibankan's Justice)
       5 | Missing item (Scouting Far Afield)
       5 | Missing item (Shadowless Strike Dojo)
       5 | Missing item (Shinjo Byung)
       5 | Missing item (Shinjo Nobunaga)
       5 | Missing item (Strength of the Fifth Ring)
       5 | Missing item (Susumu Yanada)
       5 | Missing item (Sutigu)
       5 | Missing item (Swifter than Sight)
       5 | Missing item (Tadanobu Sensei)
       5 | Missing item (Test of Sincerity)
       5 | Missing item (The Cycle of Vengeance)
       5 | Missing item (The Dark Capital of the Spider)
       5 | Missing item (The Ide Caravan)
       5 | Missing item (The Moon's Imperative)
       5 | Missing item (The Sound of Thunder)
       5 | Missing item (Throes of Madness)
       5 | Missing item (Through the Breach)
       5 | Missing item (Unbearable Weight)
       5 | Missing item (Unliving Legion)
       5 | Missing item (Unsafe Passage)
       5 | Missing item (Unwanted Mediation)
       5 | Missing item (Utaku Sakiko)
       5 | Missing item (Versatile Blade)
       5 | Missing item (Veteran Skirmishers)
       5 | Missing item (Wanderers Revealed)
       5 | Missing item (Wandering Budoka)
       5 | Missing item (Water Dragon • Experienced 3)
       5 | Missing item (We Are Not Yet Beaten)
       5 | Missing item (Without Mercy)
       5 | Missing item (Wooden Barricade)
       5 | Missing item (Yoritomo Ichido)
       5 | Missing item (Zaiko)
       4 | Missing item (Akodo Naikiru)
       4 | Missing item (All That Will Be Lost)
       4 | Missing item (Bayushi Fuyuko)
       4 | Missing item (Blessed Herbalist)
       4 | Missing item (Blind Honor)
       4 | Missing item (Champion of Thunder)
       4 | Missing item (Clan Estate)
       4 | Missing item (Cloth Market)
       4 | Missing item (Consideration)
       4 | Missing item (Daidoji Nozomi)
       4 | Missing item (Daigotsu Bofana - exp)
       4 | Missing item (Daigotsu Bofana)
       4 | Missing item (Daigotsu Hashibei)
       4 | Missing item (Daigotsu Jemaru)
       4 | Missing item (Daigotsu Matsuda)
       4 | Missing item (Dark Naga Scouts)
       4 | Missing item (Demonstrating Technique)
       4 | Missing item (Desperate Mediation)
       4 | Missing item (Diligent Care)
       4 | Missing item (Discovering the Daisho of Water)
       4 | Missing item (Dismissing the Cur)
       4 | Missing item (Doji Doukohito)
       4 | Missing item (Ebisu's Honesty)
       4 | Missing item (Emerald Ascension)
       4 | Missing item (Eroded Morale)
       4 | Missing item (Ever-Winter Copse)
       4 | Missing item (Farmer's Kama)
       4 | Missing item (Final Ruin)
       4 | Missing item (Flame and Lightning)
       4 | Missing item (forgotten legacy)
       4 | Missing item (Goju Kobashi)
       4 | Missing item (Goju Sensei)
       4 | Missing item (Goju Yurushi - exp)
       4 | Missing item (Hida Zaiburo)
       4 | Missing item (Hirakura's Attendant)
       4 | Missing item (Hiruma Nikaru)
       4 | Missing item (Hunting the Prophet)
       4 | Missing item (Iemasa Sensei)
       4 | Missing item (Ikoma Akinari)
       4 | Missing item (Ikoma Ayumi • Experienced)
       4 | Missing item (In Time of War)
       4 | Missing item (Inexorable Advance)
       4 | Missing item (Insolence Punished)
       4 | Missing item (Interrupt the Void's Flow)
       4 | Missing item (Into the Wastes)
       4 | Missing item (Isawa Genma)
       4 | Missing item (Isawa Hibana • Experienced)
       4 | Missing item (Isawa Norimichi, Elemental Master)
       4 | Missing item (Isawa Shunryu, the Infinite Eye)
       4 | Missing item (Kaiu Gizen)
       4 | Missing item (Kaiu Gorobei)
       4 | Missing item (Kakita Shinichi)
       4 | Missing item (Kami Unleashed)
       4 | Missing item (Katana of Fire - exp)
       4 | Missing item (Katana of Twilight)
       4 | Missing item (Killing Intent)
       4 | Missing item (Kisada's Funeral • Experienced)
       4 | Missing item (Kobi Sensei)
       4 | Missing item (Kuronada - exp2)
       4 | Missing item (Lying in Ambush)
       4 | Missing item (Makito - exp)
       4 | Missing item (Matsu Takeuchi)
       4 | Missing item (Military Alliance)
       4 | Missing item (Minikui no Oni)
       4 | Missing item (Mirumoto Reiji)
       4 | Missing item (Mirumoto Rokai • Experienced)
       4 | Missing item (Mirumoto Shikei, the Laughing Dragon • Experienced 2)
       4 | Missing item (Mirumoto Tsukazu)
       4 | Missing item (Misdirection)
       4 | Missing item (Moshi Yokohime)
       4 | Missing item (Moto Daigoro)
       4 | Missing item (Moto Hunters)
       4 | Missing item (Moto Naleesh, the Living Goddess • Experienced)
       4 | Missing item (Moto Taigo)
       4 | Missing item (Musume Mura)
       4 | Missing item (Narrow Ground)
       4 | Missing item (Never Beyond My Reach)
       4 | Missing item (Never Enough Soldiers)
       4 | Missing item (Nishimura)
       4 | Missing item (North Hub Village)
       4 | Missing item (Onyx Ascendance)
       4 | Missing item (Peaceful Discourse)
       4 | Missing item (Quelsa)
       4 | Missing item (Recruitment Effort)
       4 | Missing item (Rhetoric)
       4 | Missing item (Sachina Sensei)
       4 | Missing item (Sasada)
       4 | Missing item (Satoshi's Dual Warfans)
       4 | Missing item (Scandalous Gossip)
       4 | Missing item (Scorn the Weak)
       4 | Missing item (Scourge of the Sea)
       4 | Missing item (Search for Advantage)
       4 | Missing item (Searching for Answers)
       4 | Missing item (Seaside Bazaar)
       4 | Missing item (Shadow's Talon)
       4 | Missing item (Shinjo Junpei)
       4 | Missing item (Shinjo Okiau)
       4 | Missing item (Shiotome Troupe)
       4 | Missing item (Short Season)
       4 | Missing item (Shosuro Hotaka)
       4 | Missing item (Sinkhole)
       4 | Missing item (Small-Time Bully)
       4 | Missing item (Staff of the Raja's Court)
       4 | Missing item (Steal the Candle's Flame)
       4 | Missing item (Taken Hostage)
       4 | Missing item (Tales of Valor)
       4 | Missing item (Tetsuo - exp)
       4 | Missing item (The Cost of Pride)
       4 | Missing item (The Egg of P'an Ku - exp)
       4 | Missing item (The Emerald Armor - exp2)
       4 | Missing item (The Emerald Championship)
       4 | Missing item (The Heavens Are Watching)
       4 | Missing item (The Hiruma Dojo)
       4 | Missing item (The Spider's Web)
       4 | Missing item (The War of Dark Fire)
       4 | Missing item (The Wind's Clarity)
       4 | Missing item (Tireless Efforts)
       4 | Missing item (Toturi Tsudao)
       4 | Missing item (Unexpected Betrayal)
       4 | Missing item (Unforgivable Shame)
       4 | Missing item (Unimpeachable Name)
       4 | Missing item (Uta)
       4 | Missing item (Utaku Kazue)
       4 | Missing item (Vengeful Populace)
       4 | Missing item (Versatile Farm)
       4 | Missing item (Victory or Death)
       4 | Missing item (Way of the Crane)
       4 | Missing item (Way of the Scorpion)
       4 | Missing item (Way of the Spider)
       4 | Missing item (Wooden Nunchaku)
       4 | Missing item (Word from the Imperial Court)
       4 | Missing item (Yoritomo Nishigori)
       4 | Missing item (Yoritomo Yusuke)
       3 | Missing item (1 Colonial Harbor)
       3 | Missing item (1 Counterattack)
       3 | Missing item (1 Peace)
       3 | Missing item (1 Ring of Air)
       3 | Missing item (1 Ring of Water)
       3 | Missing item (1 Secluded Waystation)
       3 | Missing item (1 Shrine to Fukurokujin)
       3 | Missing item (1 Temples of Gisei Toshi)
       3 | Missing item (1 Wooden Barricade)
       3 | Missing item (A Game Of Dice)
       3 | Missing item (A New Perspective)
       3 | Missing item (A Vision Imparted)
       3 | Missing item (Aligned with Fire)
       3 | Missing item (Ancestral Armor of the Scorpion Clan)
       3 | Missing item (Asako Tsunefusa • Experienced)
       3 | Missing item (Bayushi Akane)
       3 | Missing item (Bayushi Junko)
       3 | Missing item (Bayushi Kachiko, Seven Thunder)
       3 | Missing item (Bayushi Meiko)
       3 | Missing item (Bayushi Nitoshi, the Poison Mask)
       3 | Missing item (Blade of the Pure Soul)
       3 | Missing item (Bokken of the Ruby Champion)
       3 | Missing item (Border Keep • Experienced)
       3 | Missing item (Bow Before My Will)
       3 | Missing item (Broken Cipher)
       3 | Missing item (Calculated Risk)
       3 | Missing item (Camel Mounts)
       3 | Missing item (Charge)
       3 | Missing item (Charter of the Scorpion Clan)
       3 | Missing item (Chrysanthemum Blossom)
       3 | Missing item (Chuda Hitaka - exp)
       3 | Missing item (City of Night • Experienced)
       3 | Missing item (Closing The Gap)
       3 | Missing item (Clumsy Ambush)
       3 | Missing item (Colonial Conscripts)
       3 | Missing item (Costly Opportunity)
       3 | Missing item (Crushing Strength)
       3 | Missing item (Daidoji Kuraou)
       3 | Missing item (Daidoji Tanshi)
       3 | Missing item (Daigotsu Kanpeki, the Shadow Emperor)
       3 | Missing item (Daigotsu Kendo)
       3 | Missing item (Daigotsu Onosaka)
       3 | Missing item (Deadly Bisento)
       3 | Missing item (Deeds and Words)
       3 | Missing item (Defensive Technique)
       3 | Missing item (Delayed Conflict)
       3 | Missing item (Delicate Forge)
       3 | Missing item (Den of Iniquity)
       3 | Missing item (Dissension)
       3 | Missing item (Do Not Delay!)
       3 | Missing item (Doji Kazuo • Experienced)
       3 | Missing item (Doji Makoto)
       3 | Missing item (Doji Odaka)
       3 | Missing item (Doji Shikishi)
       3 | Missing item (Doji Shirarou)
       3 | Missing item (Duel of Haiku)
       3 | Missing item (Earth Dragon • Experienced 2)
       3 | Missing item (Elite Sentry)
       3 | Missing item (Emerald Competitor)
       3 | Missing item (Exquisite Blade)
       3 | Missing item (Exquisite Silk Works)
       3 | Missing item (Eye of the Sword)
       3 | Missing item (Fall Back)
       3 | Missing item (Fall On Your Knees)
       3 | Missing item (Family Dojo)
       3 | Missing item (Famous bazaar)
       3 | Missing item (Fearless Heavy Cavalry)
       3 | Missing item (Firm Censure)
       3 | Missing item (Flame Lash)
       3 | Missing item (Flanking Unit)
       3 | Missing item (Flawless Naginata)
       3 | Missing item (Flight of No Mind)
       3 | Missing item (Fortifications)
       3 | Missing item (Frontier Farmer)
       3 | Missing item (Fudo - exp)
       3 | Missing item (Games of Will)
       3 | Missing item (Genmyo)
       3 | Missing item (Gleaming Wakizashi)
       3 | Missing item (Goju Gochiso)
       3 | Missing item (Goju Oyoto)
       3 | Missing item (Goju Sawaki)
       3 | Missing item (Greater Sacrifice)
       3 | Missing item (Guided by Honor)
       3 | Missing item (Hachiman's Prowess)
       3 | Missing item (Harsh Choices)
       3 | Missing item (Heavily Engaged)
       3 | Missing item (Hida Ayahi)
       3 | Missing item (Hida Fujiki)
       3 | Missing item (Hida Otoya)
       3 | Missing item (Hida Tatsuma)
       3 | Missing item (Hidden Dagger)
       3 | Missing item (Hotei's Contentment)
       3 | Missing item (Hunger)
       3 | Missing item (Iaijutsu Art)
       3 | Missing item (Iaijutsu Lesson)
