# Card Name;Card Number-Rarity;Side;Neo-Standard Class;Type;Color;Traits;Level;Cost;Power;Trigger;Soul;Product;Own
“Finale” Noir;NIK/S117-E032-RR|NIK/S117-E032S-SR|NIK/S117-E032SP-SP|NIK/S117-E032SSP-SSP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/777;3;2;10000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Firepower Rules!” Neon;NIK/S117-TE10|NIK/S117-TE10R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Counters;3;2;10000;Soul;2;Trial Deck GODDESS OF VICTORY: NIKKE;2
“Garden of Shangri-La” Rapunzel;NIK/S117-E094-R|NIK/S117-E094S-SR|NIK/S117-E094SP-SP|NIK/S117-E094SSP-SSP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Pioneer;3;2;10000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Goddess of Victory”;NIK/S117-E111-C|NIK/S117-E111S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Event;Blue;2;1;;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Gotcha...” Guilty;NIK/S117-E046-U|NIK/S117-E046S-SR|NIK/S117-E046SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Real Kindness;3;2;11500;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Grumpy Cat” Nero;NIK/S117-E070-U|NIK/S117-E070S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Happy Zoo;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Justifiable Defense” Vesti;NIK/S117-TE20-TD|NIK/S117-TE20R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Absolute;2;1;1500;Soul;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
“Kotodama: Words of Power” Maiden;NIK/S117-E041-U|NIK/S117-E041S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Extrinsic;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Laplace Buster” Laplace;NIK/S117-E024-C|NIK/S117-E024S-SR|NIK/S117-E024SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Matis;3;2;11000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Last Kingdom” Crown;NIK/S117-PE12-PR|NIK/S117-PE12EX-PR+|NIK/S117-PE12S-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/White Knight;0;0;500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Lion's Heart” Leona;NIK/S117-E062-R|NIK/S117-E062S-SR|NIK/S117-E062SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Happy Zoo;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Lizard's Protection” Tia;NIK/S117-E001-RR|NIK/S117-E001S-SR|NIK/S117-E001SP-SP|NIK/S117-E001SSP-SSP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Dazzling Pearl;0;0;2500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Love Returned” Admi;NIK/S117-TE05-TD|NIK/S117-TE05R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Triangle;0;0;2000;;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
“Mealtime” Ade;NIK/S117-E109-C|NIK/S117-E109S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Maid For You;1;0;3500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Memories of Blue Butterflies” N102;NIK/S117-E049-C|NIK/S117-E049S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Recall & Release;0;0;6500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Miracle of Makeshifts” Tove;NIK/S117-E074-C|NIK/S117-E074S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Unlimited;1;0;3000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Model Senior Student” Rei;NIK/S117-E036-R|NIK/S117-E036S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/School Circle;0;0;2000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“My Word, My Bond!” Soline;NIK/S117-E095-U|NIK/S117-E095S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Infinity Rail;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“New World” Modernia;NIK/S117-TE21-TD|NIK/S117-TE21R-RRR|NIK/S117-TE21SP-SP|NIK/S117-PE101-PR|NIK/S117-PE101S-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Heretic;3;2;10500;Soul;2;Trial Deck GODDESS OF VICTORY: NIKKE;2
“Paradise Lost” Dorothy;NIK/S117-E087-RR|NIK/S117-E087EX-SEC+|NIK/S117-E087S-SR|NIK/S117-E087SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Inherit;3;2;10000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Partisan Protocol” Exia;NIK/S117-E051-C|NIK/S117-E051S-SR|NIK/S117-E051SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Protocol;1;1;4000;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Penetrating Stare” Quiry;NIK/S117-E103|NIK/S117-E103S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/A.C.P.U.;0;0;500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Pepper Therapy” Pepper;NIK/S117-E044-U|NIK/S117-E044S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Seraphim;1;0;3500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Pierce Shot” Maxwell;NIK/S117-E014-U|NIK/S117-E014S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Matis;1;0;6000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Pinpoint Missile” Anis;NIK/S117-TE02-TD|NIK/S117-TE02R-RRR|NIK/S117-TE02SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Counters;0;0;500;Soul;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
“Poli's Defense Line” Poli;NIK/S117-E099-U|NIK/S117-E099S-SR|NIK/S117-E099SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/A.C.P.U.;1;0;4000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Powering up!” Miranda;NIK/S117-E098-U|NIK/S117-E098S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/A.C.P.U.;1;0;3000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Professional Maid Leader” Cocoa;NIK/S117-E104-C|NIK/S117-E104S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Maid For You;0;0;500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“R&D Shot” Dolla;NIK/S117-E033-R|NIK/S117-E033S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Talentum;0;0;500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Realization” Marian;NIK/S117-E088-R|NIK/S117-E088S-SR|NIK/S117-E088SSP-SSP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Counters;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Red Wolf” Red Hood;NIK/S117-E058-RR|NIK/S117-E058S-SR|NIK/S117-E058SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Goddess;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Remember Me” Delta;NIK/S117-E073-C|NIK/S117-E073S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/The Scouts;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Resplendent Cherry Blossom” Sakura;NIK/S117-E061-R|NIK/S117-E061S-SR|NIK/S117-E061SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Underworld Queen;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Roar” Neve;NIK/S117-E071-U|NIK/S117-E071S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Unlimited;1;0;3000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“SAFE 50-50” Epinel;NIK/S117-E105-C|NIK/S117-E105S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Nepenthe;0;0;2500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Sail Through the Tempest!” Mast;NIK/S117-E009-R|NIK/S117-E009S-SR|NIK/S117-E009SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Aegis;2;1;7500;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Scarlet Flash” Scarlet;NIK/S117-E093-R|NIK/S117-E093S-SR|NIK/S117-E093SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Pioneer;2;1;6000;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Sense Sharing” Mihara;NIK/S117-E043-U|NIK/S117-E043S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Wardress;1;0;1000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Seven Dwarves: I” Snow White;NIK/S117-E091-R|NIK/S117-E091S-SR|NIK/S117-E091SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Pioneer;1;1;3500;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Showtime” Blanc;NIK/S117-E031-RR|NIK/S117-E031S-SR|NIK/S117-E031SP-SP|“Showtime” Blanc-SSP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/777;3;2;8500;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Snake Bite” Viper;NIK/S117-E005-R|NIK/S117-E005S-SR|NIK/S117-PE02-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Exotic;0;0;1000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Snow Queen” Ludmilla;NIK/S117-TE07|NIK/S117-TE07R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Unlimited;2;1;4000;Soul;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
“Sonic Chaser” Isabel;NIK/S117-E106-C|NIK/S117-E106S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Inherit;0;0;3500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Spring Cleaning” Soda;NIK/S117-E089-R|NIK/S117-E089S-SR|NIK/S117-E089SP-SP|NIK/S117-PE08-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Maid For You;0;0;2500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Sprint” Folkwang;NIK/S117-E096-U|NIK/S117-E096S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Nepenthe;0;0;2000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Start Construction” Centi;NIK/S117-E018-C|NIK/S117-E018S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Mighty Tools;0;0;1000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Strawberry Shock” Diesel;NIK/S117-E100-U|NIK/S117-E100S-SR|NIK/S117-E100SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Infinity Rail;1;0;4000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“The Great Escape” Quency;NIK/S117-E079-C|NIK/S117-E079S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Real Kindness;3;2;11000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;1
“The Terrorist” Crow;NIK/S117-E013-U|NIK/S117-E013S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Exotic;1;0;5000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Tricky Bomber” Belorta;NIK/S117-E012-U|NIK/S117-E012S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/The Carronades;0;0;2000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Trouble Shooter” Sugar;NIK/S117-E050-C|NIK/S117-E050S-SR|NIK/S117-E050SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Cafe Sweety;1;1;1000;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Turn up the Volume!” Volume;NIK/S117-E075-C|NIK/S117-E075S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Prima Donna;1;0;3500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Turning the Tide” Eunhwa;NIK/S117-TE18-TD|NIK/S117-TE18R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Absolute;1;0;4500;;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
“U Mad Bro?” Noah;NIK/S117-E097-U|NIK/S117-E097S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Inherit;0;0;3000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Vendetta” Rosanna;NIK/S117-E072-U|NIK/S117-E072S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Underworld Queen;2;2;2500;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;1
“Victory is Mine” Milk;NIK/S117-E048-C|NIK/S117-E048S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Cafe Sweety;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Walk Training” Biscuit;NIK/S117-E066-R|NIK/S117-E066S-SR|NIK/S117-E066SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Happy Zoo;3;2;9000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Warhead Volley” Rapi;NIK/S117-TE09|NIK/S117-TE09S-SR|NIK/S117-TE09SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Counters;3;2;10000;Soul;2;Trial Deck GODDESS OF VICTORY: NIKKE;2
“Wonderland” Alice;NIK/S117-E060-RR|NIK/S117-E060S-SR|NIK/S117-E060SP-SP|NIK/S117-E060SSP-SSP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Unlimited;3;2;8000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
“Words can Kill” Sin;NIK/S117-E110-C|NIK/S117-E110S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Real Kindness;3;2;6000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
《Aquamatic》 Aqua Current;AW/S43-E085-U;Schwarz;Accel・World;Character;Blue;Avatar/Water;0;0;2000;;1;Accel・World -Infinite Burst-;0
《Black King》Black Lotus;AW/S18-E012-U;Schwarz;Accel・World;Character;Yellow;Avatar/Weapon;1;0;5000;;1;Accel・World;0
《Bloody Kitty》 Blood Leopard;AW/S43-E064-U;Schwarz;Accel・World;Character;Red;Avatar;1;0;3500;;1;Accel・World -Infinite Burst-;0
《Bloody Storm》 Scarlet Rain;AW/S18-E071-C;Schwarz;Accel・World;Character;Red;Avatar/Weapon;0;0;3000;;1;Accel・World;0
《Bouncer》 Aqua Current;AW/S18-E092-C;Schwarz;Accel・World;Character;Blue;Avatar/Water;1;0;1500;;1;Accel・World;0
《Foothold》;AW/S43-E073-U;Schwarz;Accel・World;Event;Red;3;3;;Accel・World -Infinite Burst-;0
《Healer》Lime Bell;AW/S18-E032-RR;Schwarz;Accel・World;Character;Green;Avatar/Time;1;0;4500;;1;Accel・World;0
《Immobile Fortress》Scarlet Rain;AW/S18-E061-R;Schwarz;Accel・World;Character;Red;Avatar/Weapon;1;1;2500;Soul;1;Accel・World;0
《Lotus of Black Death》 Black Lotus;AW/S43-E008-R|AW/S43-E008S-SR;Schwarz;Accel・World;Character;Yellow;Avatar/Weapon;3;2;9500;Soul;2;Accel・World -Infinite Burst-;0
《Nega Nebulas》 Submaster, Fuko;AW/S43-E087-U;Schwarz;Accel・World;Character;Blue;Net;2;1;5000;Soul;1;Accel・World -Infinite Burst-;0
《Perforation》 Ability, Cyan Pile;AW/S43-E095-C;Schwarz;Accel・World;Character;Blue;Avatar/Weapon;2;1;7000;Soul;1;Accel・World -Infinite Burst-;0
《Prominence》's Top, Niko & Pard;AW/S18-E074-C;Schwarz;Accel・World;Character;Red;Net/Maid;2;1;2500;Soul;1;Accel・World;0
《Red King》Scarlet Rain;AW/S18-E062-R;Schwarz;Accel・World;Character;Red;Avatar/Weapon;2;1;7500;Soul;1;Accel・World;0
《Silver Crow》;AW/S43-E005-R|AW/S43-E005R-RRR;Schwarz;Accel・World;Character;Yellow;Avatar;0;0;2500;;1;Accel・World -Infinite Burst-;0
《Strato Shooter》 Sky Raker;AW/S43-E078-RR|AW/S43-E078R-RRR;Schwarz;Accel・World;Character;Blue;Avatar;3;2;10000;Soul;2;Accel・World -Infinite Burst-;0
