COUNT    | LINE
       6 | Missing card Springheart Nantuko
       6 | Missing card Staff of Nin
       6 | Missing card Sticky Fingers
       6 | Missing card Stonehewer Giant
       6 | Missing card Strata Scythe
       6 | Missing card Strike It Rich
       6 | Missing card Sword of Body and Mind
       6 | Missing card Tamiyo, the Moon Sage
       6 | Missing card Teferi, Mage of Zhalfir
       6 | Missing card Tempt with Bunnies
       6 | Missing card Thassa, God of the Sea
       6 | Missing card The Book of Exalted Deeds
       6 | Missing card The Wandering Emperor
       6 | Missing card The Wind Crystal
       6 | Missing card Thundering Raiju
       6 | Missing card Toothy, Imaginary Friend
       6 | Missing card Tyvar's Stand
       6 | Missing card Virtue of Loyalty
       6 | Missing card Weatherlight
       6 | Missing card Wild-Magic Sorcerer
       6 | Missing card Willbreaker
       6 | Missing card Witch Enchanter // Witch-Blessed Meadow
       6 | Missing card Wooded Bastion
       6 | Missing card Xenagos, God of Revels
       6 | Missing card Zoyowa's Justice
       5 | Missing card Balefire Dragon
       5 | Missing card Banner of Kinship
       5 | Missing card Bear Umbra
       5 | Missing card Benalish Marshal
       5 | Missing card Blast-Furnace Hellkite
       5 | Missing card Botanical Sanctum
       5 | Missing card Brass's Tunnel-Grinder
       5 | Missing card Breeches, Eager Pillager
       5 | Missing card Bygone Bishop
       5 | Missing card Captivating Crew
       5 | Missing card Cartographer's Hawk
       5 | Missing card Celestial Mantle
       5 | Missing card Chivalric Alliance
       5 | Missing card Circle of Dreams Druid
       5 | Missing card Comeuppance
       5 | Missing card Copy Land
       5 | Missing card Crucible of Fire
       5 | Missing card Crystal Skull, Isu Spyglass
       5 | Missing card Cyber Conversion
       5 | Missing card Danny Pink
       5 | Missing card Daxos, Blessed by the Sun
       5 | Missing card Detection Tower
       5 | Missing card Disciple of Freyalise
       5 | Missing card Dollmaker's Shop/Porcelain Gallery
       5 | Missing card Domri, Anarch of Bolas
       5 | Missing card Drakuseth, Maw of Flames
       5 | Missing card Dusk/Dawn
       5 | Missing card Eladamri, Korvecdal
       5 | Missing card Electroduplicate
       5 | Missing card Emberwilde Captain
       5 | Missing card Encroaching Mycosynth
       5 | Missing card Evangel of Heliod
       5 | Missing card Fell the Mighty
       5 | Missing card Finale of Revelation
       5 | Missing card Fists of Flame
       5 | Missing card Flumph
       5 | Missing card Folio of Fancies
       5 | Missing card Forge Anew
       5 | Missing card Garruk, Primal Hunter
       5 | Missing card General Kreat, the Boltbringer
       5 | Missing card Geode Rager
       5 | Missing card Glint-Horn Buccaneer
       5 | Missing card Goblin Trashmaster
       5 | Missing card Goldvein Pick
       5 | Missing card Goro-Goro, Disciple of Ryusei
       5 | Missing card Greymond, Avacyn's Stalwart
       5 | Missing card Gwenna, Eyes of Gaea
       5 | Missing card Heat Shimmer
       5 | Missing card Herald of Secret Streams
       5 | Missing card Horn of Gondor
       5 | Missing card Hydroelectric Specimen // Hydroelectric Laboratory
       5 | Missing card Increasing Devotion
       5 | Missing card Indestructibility
       5 | Missing card Insult/Injury
       5 | Missing card Ironsoul Enforcer
       5 | Missing card Kaldra Compleat
       5 | Missing card Kazuul's Fury
       5 | Missing card Kodama of the East Tree
       5 | Missing card Koma, Cosmos Serpent
       5 | Missing card Lapse of Certainty
       5 | Missing card Legion's Landing
       5 | Missing card Life's Legacy
       5 | Missing card Light of Promise
       5 | Missing card Lyra Dawnbringer
       5 | Missing card Magmaquake
       5 | Missing card Make a Stand
       5 | Missing card Managorger Hydra
       5 | Missing card Manglehorn
       5 | Missing card Marshal's Anthem
       5 | Missing card Marvin, Murderous Mimic
       5 | Missing card Maul of the Skyclaves
       5 | Missing card Metallic Mimic
       5 | Missing card Mighty Servant of Leuk-o
       5 | Missing card Mirage Phalanx
       5 | Missing card Mizzix's Mastery
       5 | Missing card Mob Rule
       5 | Missing card Molten Primordial
       5 | Missing card Momentous Fall
       5 | Missing card Moogles' Valor
       5 | Missing card Nalfeshnee
       5 | Missing card Nautiloid Ship
       5 | Missing card Neheb, Dreadhorde Champion
       5 | Missing card Nezahal, Primal Tide
       5 | Missing card Nim Deathmantle
       5 | Missing card Ojer Taq, Deepest Foundation
       5 | Missing card Ouroboroid
       5 | Missing card Overpowering Attack
       5 | Missing card Ozolith, the Shattered Spire
       5 | Missing card Parting Gust
       5 | Missing card Party Thrasher
       5 | Missing card Passionate Archaeologist
       5 | Missing card Peacewalker Colossus
       5 | Missing card Perch Protection
       5 | Missing card Perplexing Chimera
       5 | Missing card Pip-Boy 3000
       5 | Missing card Plague Myr
       5 | Missing card Ranger of Eos
       5 | Missing card Razorkin Needlehead
       5 | Missing card Reckoner Bankbuster
       5 | Missing card Reconnaissance Mission
       5 | Missing card Resplendent Angel
       5 | Missing card Restless Prairie
       5 | Missing card Retreat to Kazandu
       5 | Missing card Rhonas's Monument
       5 | Missing card Rogue's Gloves
       5 | Missing card Search for Glory
       5 | Missing card Semester's End
       5 | Missing card Seraph Sanctuary
       5 | Missing card Serra the Benevolent
       5 | Missing card Shielded by Faith
       5 | Missing card Silver Shroud Costume
       5 | Missing card Simic Ascendancy
       5 | Missing card Single Combat
       5 | Missing card Somberwald Sage
       5 | Missing card Song-Mad Treachery // Song-Mad Ruins
       5 | Missing card Soulbright Flamekin
       5 | Missing card Spine of Ish Sah
       5 | Missing card Starfall Invocation
       5 | Missing card Stormtide Leviathan
       5 | Missing card Sundering Eruption // Volcanic Fissure
       5 | Missing card Sundial of the Infinite
       5 | Missing card Swift Reconfiguration
       5 | Missing card Sword of Sinew and Steel
       5 | Missing card Temporal Mastery
       5 | Missing card Temur Battle Rage
       5 | Missing card Tetsuko Umezawa, Fugitive
       5 | Missing card Tezzeret, Artifice Master
       5 | Missing card The Gaffer
       5 | Missing card The Skullspore Nexus
       5 | Missing card Traveling Chocobo
       5 | Missing card Twenty-Toed Toad
       5 | Missing card Ultramarines Honour Guard
       5 | Missing card Universal Automaton
       5 | Missing card Vaultborn Tyrant
       5 | Missing card Walk the Aeons
       5 | Missing card Wall of Stolen Identity
       5 | Missing card Wand of the Worldsoul
       5 | Missing card War's Toll
       5 | Missing card Whelming Wave
       5 | Missing card World at War
       5 | Missing card Wrathful Red Dragon
       4 | Missing card Aettir and Priwen
       4 | Missing card Always Watching
       4 | Missing card Ancient Bronze Dragon
       4 | Missing card Andúril, Flame of the West
       4 | Missing card Angelic Accord
       4 | Missing card Angrath's Marauders
       4 | Missing card Anim Pakal, Thousandth Moon
       4 | Missing card Anzrag's Rampage
       4 | Missing card Archangel Elspeth
       4 | Missing card Archmage of Runes
       4 | Missing card Armillary Sphere
       4 | Missing card Armored Skyhunter
       4 | Missing card Artificer Class
       4 | Missing card Artist's Talent
       4 | Missing card As Foretold
       4 | Missing card Asceticism
       4 | Missing card Ballyrush Banneret
       4 | Missing card Banishing Knack
       4 | Missing card Beamtown Beatstick
       4 | Missing card Birthing Pod
       4 | Missing card Blacksmith's Talent
       4 | Missing card Bloodthirster
       4 | Missing card Bounty Agent
       4 | Missing card Brainsurge
       4 | Missing card Branchloft Pathway
       4 | Missing card Brass Knuckles
       4 | Missing card Brass's Bounty
       4 | Missing card Brass's Tunnel-Grinder // Tecutlan, the Searing Rift
       4 | Missing card Broken Bond
       4 | Missing card Bucknard's Everfull Purse
       4 | Missing card Calamity's Wake
       4 | Missing card Case of the Locked Hothouse
       4 | Missing card Celestine, the Living Saint
       4 | Missing card Charred Foyer/Warped Space
       4 | Missing card Chiss-Goria, Forge Tyrant
       4 | Missing card Chromatic Star
       4 | Missing card Cindervines
       4 | Missing card Clone Legion
       4 | Missing card Clown Car
       4 | Missing card Coalition Relic
       4 | Missing card Collective Resistance
       4 | Missing card Comet Storm
       4 | Missing card Commit/Memory
       4 | Missing card Commune with Lava
       4 | Missing card Contagion Clasp
       4 | Missing card Copperline Gorge
       4 | Missing card Counterflux
       4 | Missing card Court of Ardenvale
       4 | Missing card Dawn of a New Age
       4 | Missing card Den of the Bugbear
       4 | Missing card Dermotaxi
       4 | Missing card Dictate of Heliod
       4 | Missing card Dino DNA
       4 | Missing card Disciple of Freyalise // Garden of Freyalise
       4 | Missing card Dragonhawk, Fate's Tempest
       4 | Missing card Dreamstone Hedron
       4 | Missing card Drogskol Cavalry
       4 | Missing card Drown in Dreams
       4 | Missing card Druid Class
       4 | Missing card Eldrazi Displacer
       4 | Missing card Elspeth, Knight-Errant
       4 | Missing card Embrace the Unknown
       4 | Missing card Enter the Infinite
       4 | Missing card Entrapment Maneuver
       4 | Missing card Expedite
       4 | Missing card Fiend Hunter
       4 | Missing card Fiendish Duo
       4 | Missing card Finale of Glory
       4 | Missing card Flamekin Village
       4 | Missing card Fleeting Reflection
       4 | Missing card Force of Virtue
       4 | Missing card Frostcliff Siege
       4 | Missing card Geode Golem
       4 | Missing card Ghalta, Primal Hunger
       4 | Missing card Ghostly Pilferer
       4 | Missing card Giada, Font of Hope
       4 | Missing card Gigantosaurus
       4 | Missing card Gilraen, Dúnedain Protector
       4 | Missing card Glaring Spotlight
       4 | Missing card Glóin, Dwarf Emissary
       4 | Missing card Goblin Chieftain
       4 | Missing card Goblin Instigator
       4 | Missing card Golden Argosy
       4 | Missing card Guff Rewrites History
       4 | Missing card Hall of Triumph
       4 | Missing card Healer's Hawk
       4 | Missing card Heartwood Storyteller
       4 | Missing card Heliod's Pilgrim
       4 | Missing card Hijack
       4 | Missing card Hour of Revelation
       4 | Missing card Hushwing Gryff
       4 | Missing card Illustrious Wanderglyph
       4 | Missing card Imposter Mech
       4 | Missing card Infiltration Lens
       4 | Missing card Inquisitor's Flail
       4 | Missing card Inspiring Leader
       4 | Missing card Inspiring Vantage
       4 | Missing card Invasion of Ikoria
       4 | Missing card Invoke Calamity
       4 | Missing card Irencrag Feat
       4 | Missing card Izzet Guildgate
       4 | Missing card Junktown
       4 | Missing card Kabira Takedown
       4 | Missing card Kabira Takedown // Kabira Plateau
       4 | Missing card Karn, Living Legacy
       4 | Missing card Katilda, Dawnhart Martyr // Katilda's Rising Dawn
       4 | Missing card Kazuul, Tyrant of the Cliffs
       4 | Missing card Kher Keep
       4 | Missing card Kinnan, Bonder Prodigy
       4 | Missing card Kiora Bests the Sea God
       4 | Missing card Kiora's Follower
       4 | Missing card Komainu Battle Armor
       4 | Missing card Krenko's Command
       4 | Missing card Kwain, Itinerant Meddler
       4 | Missing card Lae'zel, Vlaakith's Champion
       4 | Missing card Lazotep Quarry
       4 | Missing card Leonin Arbiter
       4 | Missing card Lightning Crafter
       4 | Missing card Lithoform Engine
       4 | Missing card Lost Jitte
       4 | Missing card Magewright's Stone
       4 | Missing card Magus of the Tabernacle
       4 | Missing card Malcolm, Alluring Scoundrel
       4 | Missing card Metalwork Colossus
       4 | Missing card Mirror March
       4 | Missing card Mogg War Marshal
       4 | Missing card Moonsilver Key
       4 | Missing card Mycosynth Wellspring
       4 | Missing card Needleverge Pathway
       4 | Missing card Nykthos Paragon
       4 | Missing card Obscuring Haze
       4 | Missing card Paladin Class
       4 | Missing card Pashalik Mons
       4 | Missing card Phyrexian Rebirth
       4 | Missing card Pili-Pala
       4 | Missing card Pirate's Pillage
       4 | Missing card Planar Genesis
       4 | Missing card Platinum Emperion
       4 | Missing card Precinct Captain
       4 | Missing card Pristine Talisman
       4 | Missing card Proft's Eidetic Memory
       4 | Missing card Promising Vein
       4 | Missing card Prosperous Innkeeper
       4 | Missing card Pyre of Heroes
       4 | Missing card Pyrohemia
       4 | Missing card Quietus Spike
       4 | Missing card Rabble Rousing
       4 | Missing card Raise the Past
       4 | Missing card Ravenform
       4 | Missing card Razorgrass Ambush // Razorgrass Field
       4 | Missing card Reiterate
       4 | Missing card Rescue Retriever
       4 | Missing card Return to Nature
       4 | Missing card Reverent Hoplite
       4 | Missing card Ricochet Trap
       4 | Missing card Righteous Valkyrie
       4 | Missing card Roiling Vortex
       4 | Missing card Rootborn Defenses
       4 | Missing card Rose, Cutthroat Raider
       4 | Missing card Samwise the Stouthearted
       4 | Missing card Sarkhan's Triumph
       4 | Missing card Savage Ventmaw
       4 | Missing card Scourge of Fleets
       4 | Missing card Season of Gathering
       4 | Missing card Sejiri Shelter // Sejiri Glacier
       4 | Missing card Sephara, Sky's Blade
       4 | Missing card Serra's Emissary
       4 | Missing card Shared Animosity
       4 | Missing card Shared Summons
       4 | Missing card Shivan Devastator
       4 | Missing card Shorikai, Genesis Engine
       4 | Missing card Siege Smash
       4 | Missing card Siege-Gang Lieutenant
       4 | Missing card Silkguard
       4 | Missing card Silverback Elder
       4 | Missing card Siren Stormtamer
       4 | Missing card Smile at Death
       4 | Missing card Snake Umbra
       4 | Missing card Sonic Screwdriver
       4 | Missing card Spawn of Thraxes
       4 | Missing card Speaker of the Heavens
       4 | Missing card Spikefield Hazard // Spikefield Cave
       4 | Missing card Spiteful Banditry
       4 | Missing card Starnheim Courser
       4 | Missing card Stonespeaker Crystal
       4 | Missing card Strict Proctor
       4 | Missing card Stump Stomp
       4 | Missing card Stunt Double
       4 | Missing card Subira, Tulzidi Caravanner
       4 | Missing card Sunbird's Invocation
       4 | Missing card Surgehacker Mech
       4 | Missing card Surly Badgersaur
       4 | Missing card Surveyor's Scope
       4 | Missing card Sword of Once and Future
       4 | Missing card Temur Sabertooth
       4 | Missing card Tendershoot Dryad
       4 | Missing card Tenuous Truce
       4 | Missing card Teyo, Geometric Tactician
       4 | Missing card The Millennium Calendar
       4 | Missing card The Prydwen, Steel Flagship
       4 | Missing card The Restoration of Eiganjo
       4 | Missing card The Wandering Rescuer
       4 | Missing card Thought Scour
       4 | Missing card Thunderhawk Gunship
       4 | Missing card Toggo, Goblin Weaponsmith
       4 | Missing card Triumph of the Hordes
       4 | Missing card Two-Handed Axe
       4 | Missing card Tyrant's Familiar
       4 | Missing card Ugin, Eye of the Storms
       4 | Missing card Ulvenwald Hydra
       4 | Missing card Ulvenwald Tracker
       4 | Missing card Uncivil Unrest
       4 | Missing card Unleash Fury
       4 | Missing card Valiant Veteran
       4 | Missing card Visions of Glory
       4 | Missing card Vivien, Champion of the Wilds
       4 | Missing card Voice of the Blessed
       4 | Missing card Vorel of the Hull Clade
       4 | Missing card Vorinclex, Monstrous Raider
       4 | Missing card Vorinclex, Voice of Hunger
       4 | Missing card Walk-In Closet/Forgotten Cellar
