________ Goblin;Legacy-Banned/Vintage-Banned/Oathbreaker-Banned/Pauper-Banned
Darkpact;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned
Darksteel Citadel;Mirrodin Block-Banned
Daze;Pauper-Banned
Deadly Dispute;Pauper-Banned
Deathrite Shaman;Modern-Banned/Legacy-Banned
Demonic Attorney;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned
Demonic Consultation;Legacy-Banned/Vintage-Restricted/Premodern-Banned
Demonic Tutor;Legacy-Banned/Vintage-Restricted
Dig Through Time;Modern-Banned/Legacy-Banned/Vintage-Restricted
Disciple of the Vault;Pauper-Banned/Mirrodin Block-Banned
Dockside Extortionist;Commander-Banned
Doomsday;Oathbreaker-Banned
Dragon's Approach;Relentless
Dreadhorde Arcanist;Legacy-Banned
Earthcraft;Legacy-Banned/Premodern-Banned
Empty the Warrens;Pauper-Banned
Emrakul, the Aeons Torn;Oathbreaker-Banned/Commander-Banned
Entomb;Premodern-Banned/Legacy-Banned
Erayo, Soratami Ascendant;Commander-Banned
Expressive Iteration;Pioneer-Banned/Legacy-Banned
Expropriate;Oathbreaker-Banned
Eye of Ugin;Modern-Banned
Falling Star;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned
Fastbond;Legacy-Banned/Commander-Banned/Oathbreaker-Banned
Felidar Guardian;Pioneer-Banned
Field of the Dead;Modern-Banned/Pioneer-Banned
Flash;Legacy-Banned/Vintage-Restricted/Commander-Banned/Premodern-Banned
Flooded Strand;Pioneer-Banned
Force of Will;Premodern-Banned
Frantic Search;Legacy-Banned/Pauper-Banned
Fury;Modern-Banned
Gaea's Cradle;Urza's Block-Banned
Galvanic Relay;Pauper-Banned
Geological Appraiser;Pioneer-Banned
Gitaxian Probe;Modern-Banned/Legacy-Banned/Vintage-Restricted/Pauper-Banned
Glimpse of Nature;Modern-Banned
Goblin Recruiter;Legacy-Banned
Goblin Recruiter;Premodern-Banned
Golgari Grave-Troll;Modern-Banned/Vintage-Restricted
Golos, Tireless Pilgrim;Commander-Banned
Grapeshot;Pauper-Banned
Great Furnace;Modern-Banned/Mirrodin Block-Banned
Grief;Modern-Banned/Legacy-Banned
Grim Monolith;Premodern-Banned
Griselbrand;Commander-Banned/Oathbreaker-Banned
Gush;Legacy-Banned/Vintage-Restricted/Pauper-Banned
Hare Apparent;Relentless
Heartfire Hero;Standard-Banned/Pioneer-Banned
Hermit Druid;Legacy-Banned
High Tide;Oathbreaker-Banned/Pauper-Banned
Hogaak, Arisen Necropolis;Modern-Banned
Hopeless Nightmare;Standard-Banned
Hullbreacher;Commander-Banned
Hymn to Tourach;Pauper-Banned
Imperial Seal;Legacy-Banned/Vintage-Restricted
Imprison;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned
Intangible Virtue;Innistrad Block-Banned
Invigorate;Pauper-Banned
Invoke Prejudice;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned
Iona, Shield of Emeria;Commander-Banned
Jeweled Bird;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned/Premodern-Banned
Jeweled Lotus;Oathbreaker-Banned/Commander-Banned
Jihad;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned
Karakas;Commander-Banned
Karn, the Great Creator;Pioneer-Banned/Vintage-Restricted
Kethis, the Hidden Hand;Pioneer-Banned
Krark-Clan Ironworks;Modern-Banned
Land Tax;Premodern-Banned
Leovold, Emissary of Trest;Commander-Banned
Leyline of Abundance;Pioneer-Banned
Library of Alexandria;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned
Limited Resources;Oathbreaker-Banned/Commander-Banned
Lin Sivvi, Defiant Hero;Masques Block-Banned
Lingering Souls;Innistrad Block-Banned
Lion's Eye Diamond;Vintage-Restricted/Oathbreaker-Banned
Lodestone Golem;Vintage-Restricted
Lotus Petal;Vintage-Restricted
Lurrus of the Dream-Den;Pioneer-Banned/Modern-Banned/Legacy-Banned
Lutri, the Spellchaser;Commander-Banned
Mana Crypt;Legacy-Banned/Vintage-Restricted/Oathbreaker-Banned/Commander-Banned
Mana Drain;Legacy-Banned
Mana Geyser;Oathbreaker-Banned
Mana Vault;Legacy-Banned/Vintage-Restricted/Oathbreaker-Banned/Premodern-Banned
Memory Jar;Legacy-Banned/Vintage-Restricted/Urza's Block-Banned/Premodern-Banned
Mental Misstep;Modern-Banned/Legacy-Banned/Vintage-Restricted
Merchant Scroll;Vintage-Restricted
Mind Twist;Legacy-Banned/Premodern-Banned
Mind's Desire;Vintage-Restricted/Premodern-Banned
Monastery Mentor;Vintage-Restricted
Monastery Swiftspear;Pauper-Banned
Monstrous Rage;Standard-Banned
Mox Emerald;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned
Mox Jet;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned
Mox Pearl;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned
Mox Ruby;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned
Mox Sapphire;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned
Mycosynth Lattice;Modern-Banned
Mystic Forge;Vintage-Restricted
Mystic Remora;Pauper Commander-Banned
Mystic Sanctuary;Modern-Banned/Pauper-Banned
Mystical Tutor;Legacy-Banned/Vintage-Restricted/Premodern-Banned
Nadu, Winged Wisdom;Modern-Banned/Commander-Banned/Legacy-Banned
Narset, Parter of Veils;Vintage-Restricted
Natural Order;Oathbreaker-Banned
Nazgûl;Relentless-9
Necropotence;Legacy-Banned/Vintage-Restricted/Premodern-Banned
Nexus of Fate;Pioneer-Banned
Oath of Druids;Legacy-Banned
Oko, Thief of Crowns;Pioneer-Banned/Modern-Banned/Legacy-Banned
Once Upon a Time;Pioneer-Banned/Modern-Banned
Outlaws of Thunder Junction;Standard-Banned
Painter's Servant;Oathbreaker-Banned
Paradox Engine;Commander-Banned
Peregrine Drake;Pauper-Banned
Persistent Petitioners;Relentless
Polluted Delta;Pioneer-Banned
Ponder;Modern-Banned
Pradesh Gypsies;Legacy-Banned/Vintage-Banned/Commander-Banned/Pauper-Banned/Oathbreaker-Banned/Pauper Commander-Banned
Primal Surge;Oathbreaker-Banned
Primeval Titan;Commander-Banned
Proft's Eidetic Memory;Standard-Banned
Prophet of Kruphix;Commander-Banned
Psychic Frog;Legacy-Banned
Punishing Fire;Modern-Banned
Ragavan, Nimble Pilferer;Legacy-Banned
Rat Colony;Relentless
Rebirth;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned/Premodern-Banned
Recurring Nightmare;Commander-Banned
Relentless Rats;Relentless
Rhystic Study;Pauper Commander-Banned
Rishadan Port;Masques Block-Banned
Rite of Flame;Modern-Banned
Rofellos, Llanowar Emissary;Commander-Banned
Saheeli, the Gifted;Oathbreaker-Banned
Screaming Nemesis;Standard-Banned
Seat of the Synod;Modern-Banned/Mirrodin Block-Banned
Second Sunrise;Modern-Banned
Seething Song;Modern-Banned
Sensei's Divining Top;Modern-Banned/Legacy-Banned
Serra's Sanctum;Urza's Block-Banned
Seven Dwarves;Relentless-7
Shadowborn Apostle;Relentless
Shahrazad;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned
Simian Spirit Guide;Modern-Banned
Sinkhole;Pauper-Banned
Skullclamp;Mirrodin Block-Banned/Modern-Banned/Legacy-Banned
Slime Against Humanity;Relentless
Sojourner's Companion;Pauper-Banned
Sol Ring;Legacy-Banned/Vintage-Restricted/Oathbreaker-Banned
Sowing Mycospawn;Legacy-Banned
Squandered Resources;Mirage Block-Banned
Stirring Bard;Pauper-Banned
Stone-Throwing Devils;Legacy-Banned/Vintage-Banned/Commander-Banned/Pauper-Banned/Oathbreaker-Banned/Pauper Commander-Banned
Strip Mine;Legacy-Banned/Vintage-Restricted/Premodern-Banned
Summer Bloom;Modern-Banned
Sundering Titan;Oathbreaker-Banned/Commander-Banned
Survival of the Fittest;Legacy-Banned
Sylvan Primordial;Oathbreaker-Banned/Commander-Banned
Teferi, Time Raveler;Pioneer-Banned
Tempest Efreet;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned/Premodern-Banned
Tempest Hawk;Relentless
Temporal Fissure;Pauper-Banned
Tendrils of Agony;Premodern-Banned
Thawing Glaciers;Ice Age Block-Banned
The One Ring;Modern-Banned
Thorn of Amethyst;Vintage-Restricted
Time Spiral;Urza's Block-Banned/Premodern-Banned
Time Vault;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned
Time Walk;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned
Timetwister;Legacy-Banned/Vintage-Restricted
Timmerian Fiends;Legacy-Banned/Vintage-Banned/Commander-Banned/Oathbreaker-Banned/Premodern-Banned
Tinker;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned
Tolarian Academy;Legacy-Banned/Vintage-Restricted/Commander-Banned/Oathbreaker-Banned/Urza's Block-Banned/Premodern-Banned
Tooth and Nail;Oathbreaker-Banned
Trade Secrets;Oathbreaker-Banned/Commander-Banned
Treasure Cruise;Modern-Banned/Legacy-Banned/Vintage-Restricted/Pauper-Banned
Tree of Tales;Modern-Banned/Mirrodin Block-Banned
Trinisphere;Vintage-Restricted
Troll of Khazad-dûm;Legacy-Banned
Umezawa's Jitte;Modern-Banned
Undercity Informer;Pioneer-Banned
Underworld Breach;Pioneer-Banned/Legacy-Banned/Modern-Banned
Up the Beanstalk;Modern-Banned
Up the Beanstalk;Standard-Banned
Upheaval;Oathbreaker-Banned/Commander-Banned
Uro, Titan of Nature's Wrath;Pioneer-Banned/Modern-Banned
Urza's Saga;Vintage-Restricted
Vampiric Tutor;Legacy-Banned/Vintage-Restricted/Premodern-Banned
Vault of Whispers;Modern-Banned/Mirrodin Block-Banned
Veil of Summer;Pioneer-Banned
Vexing Bauble;Legacy-Banned
Violent Outburst;Modern-Banned
Vivi Ornitier;Standard-Banned
Voltaic Key;Urza's Block-Banned
Walking Ballista;Pioneer-Banned
White Plume Adventurer;Legacy-Banned
Wilderness Reclamation;Pioneer-Banned
Windfall;Legacy-Banned/Vintage-Restricted/Urza's Block-Banned/Premodern-Banned
Windswept Heath;Pioneer-Banned
Winota, Joiner of Forces;Pioneer-Banned
Wooded Foothills;Pioneer-Banned
Worldgorger Dragon;Premodern-Banned
Wrenn and Six;Legacy-Banned
Yawgmoth's Bargain;Oathbreaker-Banned/Commander-Banned/Legacy-Banned/Premodern-Banned
Yawgmoth's Will;Legacy-Banned/Vintage-Restricted/Premodern-Banned
Zuran Orb;Ice Age Block-Banned
