________ Goblin;_____ Goblin
Kivni, Orb Weaver;Scarlet Spider, Kaine
Knife Trick;Pumpkin Bombardment
Knights of San d'Oria;Ranger-Captain of Eos
Kraza, the Swarm as One;Spider-Punk
Kroble, Envoy of the Bog;Spider-Man Noir
Kumonosu, the Watchful;SP//dr, Piloted by Peni
Kytheon, Hero of Akros // Gideon, Battle-Forged;Kytheon, Hero of Akros
La abundancia de Yucahú;Sylvan Library
Lambholt Pacifist // Lambholt Butcher;Lambholt Pacifist
Lavaborn Goblins;Raging Goblinoids
Lavabrink Repels the Magmaloth;Maximum Carnage
Legion Leadership // Legion Stronghold;Legion Leadership
Legion's Landing // Adanto, the First Fort;Legion's Landing
Leyline Weaver;Spider Manifestation
Lifelong Friendship;Eladamri's Call
Liliana, Heretical Healer // Liliana, Defiant Necromancer;Liliana, Heretical Healer
Lindblum, Industrial Regency // Mage Siege;Lindblum, Industrial Regency
Lively Leap;Thwip!
Lost in Littjara;The Clone Saga
Luis, Pompous Pillager;Morlun, Devourer of Spiders
Lunarch Veteran // Luminous Phantom;Lunarch Veteran
Makdee and Itla, Skysnarers;Spider-Woman, Stunning Savior
Makindi Stampede // Makindi Mesas;Makindi Stampede
Malakir Rebirth // Malakir Mire;Malakir Rebirth
Malevolent Hermit // Benevolent Geist;Malevolent Hermit
Margot, On the Case;Wraith, Vicious Vigilante
Master Emerald Shrine;Command Tower
Master's Guide-Mural // Master's Manufactory;Master's Guide-Mural
Matzalantli, the Great Door // The Core;Matzalantli, the Great Door
Mayor of Avabruck // Howlpack Alpha;Mayor of Avabruck
Mayor Tong of Chin Village;Drannith Magistrate
Merata, Neuron Hacker;Lady Octopus, Inspired Inventor
Meteorfall;Star of Extinction
Miasmic Mist;Sandman's Quicksand
Midgar, City of Mako // Reactor Raid;Midgar, City of Mako
Miku, Divine Diva;Elspeth Tirel
Mila, Crafty Companion // Lukka, Wayward Bonder;Mila, Crafty Companion
Miles Morales // Ultimate Spider-Man;Miles Morales
Mirror Room/Fractured Realm;Mirror Room // Fractured Realm
Mirrorhall Mimic // Ghastly Mimicry;Mirrorhall Mimic
Moldering Gym/Weight Room;Moldering Gym // Weight Room
Mondronen Shaman // Tovolar's Magehunter;Mondronen Shaman
Morgul-Knife;Shadowspear
Mothwing Shroud;Web Up
Murderous Rider // Swift End;Murderous Rider
Needleverge Pathway // Pillarverge Pathway;Needleverge Pathway
Never/Return;Never // Return
Nia, Skysail Storyteller;Gwen Stacy
Nill, Vessel of Valgavoth;Tombstone, Career Criminal
Nu and Sumi, Career Criminals;Green Goblin, Revenant
Obscura Alleylurkers;Doc Ock's Henchmen
Odds / Ends;Odds // Ends
Ojer Axonil, Deepest Might // Temple of Power;Ojer Axonil, Deepest Might
Ojer Kaslem, Deepest Growth // Temple of Cultivation;Ojer Kaslem, Deepest Growth
Ojer Pakpatiq, Deepest Epoch // Temple of Cyclical Time;Ojer Pakpatiq, Deepest Epoch
Ojer Taq, Deepest Foundation // Temple of Civilization;Ojer Taq, Deepest Foundation
Okiba Reckoner Raid // Nezumi Road Captain;Okiba Reckoner Raid
Olx, Mouth to Many Eyes;Madame Web, Clairvoyant
Ondu Inversion // Ondu Skyruins;Ondu Inversion
Opulent Valet;News Helicopter
Orochi Eggwatcher // Shidako, Broodmistress;Orochi Eggwatcher
Orphan, Cocoon fal'Cie;Muldrotha, the Gravetide
Orris, Last of the Web Lords;Ezekiel Sims, Spider-Totem
Osgiliath, Fallen Capital;Kor Haven
Oteclan Landmark // Oteclan Levitator;Oteclan Landmark
Outland Liberator // Frenzied Trapbreaker;Outland Liberator
Outsmart the Amateur;School Daze
Ozor, Chronicler of Collapse;Doc Ock, Sinister Scientist
Palantir of Orthanc;Palantír of Orthanc
Pegasus Guardian // Rescue the Foal;Pegasus Guardian
Perfected Pastry;Bagel and Schmear
Perilous Lunge;Kapow!
Pestilent Cauldron // Restorative Burst;Pestilent Cauldron
Peter Parker // Amazing Spider-Man;Peter Parker
Phantasmal Vision;Mysterio's Phantasm
Phenomena Recorder;Peter Parker's Camera
Piko Piko Hammer;Hammer of Nazahn
Pinnacle Monk // Mystic Peak;Pinnacle Monk
Pinnacle Research Team;Oscorp Research Team
Plargg, Dean of Chaos // Augusta, Dean of Order;Plargg, Dean of Chaos
Polukranos Reborn // Polukranos, Engine of Ruin;Polukranos Reborn
Porom's Silence Magic;Silence
Post the Enchanter;Zur the Enchanter
Primal Amulet // Primal Wellspring;Primal Amulet
Principled Referee;Daily Bugle Reporters
Prophetic Beginning;Preordain
Purging Stormbrood // Absorb Essence;Purging Stormbrood
Qoneus, Horizon Splicer;The Spot, Living Portal
Quint's Insight;Shadow of the Goblin
Razorgrass Ambush // Razorgrass Field;Razorgrass Ambush
Reality Fulcrum;Interdimensional Web Watch
Realm-Cloaked Giant // Cast Off;Realm-Cloaked Giant
Reckless Stormseeker // Storm-Charged Slasher;Reckless Stormseeker
Reidane, God of the Worthy // Valkmira, Protector's Shield;Reidane, God of the Worthy
Remarkable Readings;Friendly Neighborhood
Remorseless Coup;The Spot's Portal
Repudiate/Replicate;Repudiate // Replicate
Research / Development;Research // Development
Restless Razorkin;Superior Foes of Spider-Man
Revitalizing Repast // Old-Growth Grove;Revitalizing Repast
Rhilex the Accursed;Agent Venom
Riling Dawnbreaker // Signaling Roar;Riling Dawnbreaker
Rimrock Knight // Boulder Rush;Rimrock Knight
Rise / Fall;Rise // Fall
Rise/Fall;Rise // Fall
Rishei, Getaway Accomplice;Vulture, Scheming Scavenger
Riverglide Pathway // Lavaglide Pathway;Riverglide Pathway
Rizna, the Spider-Crowned;Spinneret and Spiderling
Roaring Furnace/Steaming Sauna;Roaring Furnace // Steaming Sauna
Rough / Tumble;Rough // Tumble
Rough/Tumble;Rough // Tumble
Rouse the Swarm;Wall Crawl
Rune-Tail, Kitsune Ascendant // Rune-Tail's Essence;Rune-Tail, Kitsune Ascendant
Ruzic, Booed but Victorious;Ultimate Green Goblin
Sadistic String-Puller;Spider-Islanders
Sage of Ancient Lore // Werewolf of Ancient Hunger;Sage of Ancient Lore
Saheeli's Lattice // Mastercraft Raptor;Saheeli's Lattice
Sarn of the Silken Throne;Spider-UK
Scalding Viper // Steam Clean;Scalding Viper
Scavenger Regent // Exude Toxin;Scavenger Regent
Scorvus Ames, Crimelord;Scorpion, Seething Striker
Scuttling Spidercoach;Spider-Mobile
Sea Gate Restoration // Sea Gate, Reborn;Sea Gate Restoration
Search for Azcanta // Azcanta, the Sunken Ruin;Search for Azcanta
Search for the Frozen Esper;Nature's Claim
Secret Arcade/Dusty Parlor;Secret Arcade // Dusty Parlor
Sejiri Shelter // Sejiri Glacier;Sejiri Shelter
Selesnya Archivist;Damage Control Crew
Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel;Sephiroth, Fabled SOLDIER
Sephiroth, the Savior;Atraxa, Grand Unifier
Seymour Guado;Kinnan, Bonder Prodigy
Shadowbringers;Dovin's Veto
Shatterskull Smashing // Shatterskull, the Hammer Pass;Shatterskull Smashing
Sheoldred // The True Scriptures;Sheoldred
Sidequest: Catch a Fish // Cooking Campsite;Sidequest: Catch a Fish
Sidequest: Hunt the Mark // Yiazmat, Ultimate Mark;Sidequest: Hunt the Mark
Sidequest: Raise a Chocobo // Black Chocobo;Sidequest: Raise a Chocobo
Silundi Vision // Silundi Isle;Silundi Vision
Sink into Stupor // Soporific Springs;Sink into Stupor
Skittering Kitten;Masked Meower
Skyclave Cleric // Skyclave Basilica;Skyclave Cleric
Slicer, Hired Muscle // Slicer, High-Speed Antagonist;Slicer, Hired Muscle
Snatch Back;Whoosh!
Song-Mad Treachery // Song-Mad Ruins;Song-Mad Treachery
Spectral Restitching;Hide on the Ceiling
Spellscorn Coven // Take It Back;Spellscorn Coven
Spikefield Hazard // Spikefield Cave;Spikefield Hazard
Spring-Loaded Sawblades // Bladewheel Chariot;Spring-Loaded Sawblades
Squidward, Sarcastic Snob;Grazilaxx, Illithid Scholar
Steelweb Surveyor;Spider-Bot
Stitcher's Wings;Rocket-Powered Goblin Glider
Storm's Will;Jeska's Will
Strength of the Harvest // Haven of the Harvest;Strength of the Harvest
Stump Stomp // Burnwillow Clearing;Stump Stomp
Suki of the Kyoshi Warriors;Captain Sisay
Sundering Eruption // Volcanic Fissure;Sundering Eruption
Supply / Demand;Supply // Demand
Supply/Demand;Supply // Demand
Surgical Suite/Hospital Room;Surgical Suite // Hospital Room
Surris, Spidersilk Innovator // Surris, Silk-Tech Vanguard;Peter Parker
Surris, Spidersilk Innovator;Peter Parker
Tangled Florahedron // Tangled Vale;Tangled Florahedron
Tarantusk, Unwisely Awoken;Spider-Ham, Peter Porker
Tarrian's Journal // The Tomb of Aclazotz;Tarrian's Journal
Tearle, Entropic Hunger;Morbius the Living Vampire
Temple Trap;Steel Wrecking Ball
Tergrid, God of Fright // Tergrid's Lantern;Tergrid, God of Fright
Terra, Magical Adept // Esper Terra;Terra, Magical Adept
Tethex, Gift of Malice;Venom, Evil Unleashed
Thaumatic Compass // Spires of Orazca;Thaumatic Compass
The Banyan Tree;The Great Henge
The Boy in the Iceberg;Dark Depths
The Clutter Cluster;Spiders-Man, Heroic Horde
The Dead Marshes;Urborg, Tomb of Yawgmoth
The Enigma Jewel // Locus of Enlightenment;The Enigma Jewel
The House Grows Hungry;The Death of Gwen Stacy
The Infernus;Molten Man, Inferno Incarnate
The Legend of Kuruk // Avatar Kuruk;The Legend of Kuruk
The Legend of Kyoshi // Avatar Kyoshi;The Legend of Kyoshi
The Legend of Roku // Avatar Roku;The Legend of Roku
The Restoration of Eiganjo // Architect of Restoration;The Restoration of Eiganjo
The Rise of Sozin // Fire Lord Sozin;The Rise of Sozin
The Scouring Stormsoul;Sandman, Shifting Scoundrel
The Strahl;Smuggler's Copter
The Terminus of Return;The Soul Stone
The Watcher on the Road;Mysterio, Master of Illusion
Thing in the Ice // Awoken Horror;Thing in the Ice
Thousand Moons Smithy // Barracks of the Thousand;Thousand Moons Smithy
Thrum of the Vestige;Lightning Bolt
Tithing Blade // Consuming Sepulcher;Tithing Blade
Toralf, God of Fury // Toralf's Hammer;Toralf, God of Fury
Totec's Spear;Shadowspear
Treasure Map // Treasure Cove;Treasure Map
Treat Trolley;Hot Dog Cart
Treebeard, Eldest of Ents;Doran, the Siege Tower
Trial / Error;Trial // Error
Turntimber Symbiosis // Turntimber, Serpentine Wood;Turntimber Symbiosis
Two-Handed Axe // Sweeping Cleave;Two-Handed Axe
Two-Headed Hunter // Twice the Rage;Two-Headed Hunter
Uharis, the Stormspinner;Spider-Man 2099
Ulvenwald Oddity // Ulvenwald Behemoth;Ulvenwald Oddity
Unholy Annex/Ritual Chamber;Unholy Annex // Ritual Chamber
Unstable Glyphbridge // Sandswirl Wanderglyph;Unstable Glyphbridge
Urabrask // The Great Work;Urabrask
Valakut Awakening // Valakut Stoneforge;Valakut Awakening
Valki, God of Lies // Tibalt, Cosmic Impostor;Valki, God of Lies
Vana'diel Adventurers;Laboratory Maniac
Vazin, Two-Faced Trickster;Chameleon, Master of Disguise
Venat, Heart of Hydaelyn // Hydaelyn, the Mothercrystal;Venat, Heart of Hydaelyn
Verilax the Havenskin;Anti-Venom, Horrifying Healer
Vexed Bots;Flying Octobot
Vincent Valentine // Galian Beast;Vincent Valentine
Vinewoven Chariot;Subway Train
Virtue of Courage // Embereth Blaze;Virtue of Courage
Virtue of Knowledge // Vantress Visions;Virtue of Knowledge
Virtue of Loyalty // Ardenvale Fealty;Virtue of Loyalty
Virtue of Persistence // Locthwain Scorn;Virtue of Persistence
Virtue of Strength // Garenbrig Growth;Virtue of Strength
Visage of Dread // Dread Osseosaur;Visage of Dread
Volcano of Roku's Island;Valakut, the Molten Pinnacle
Voldaren Bloodcaster // Bloodbat Summoner;Voldaren Bloodcaster
Vorinclex // The Grand Evolution;Vorinclex
Walk-In Closet/Forgotten Cellar;Walk-In Closet // Forgotten Cellar
Wandering Archaic // Explore the Vastlands;Wandering Archaic
Wardens of Silverweb Summit;Spider-Gwen, Free Spirit
Waterlogged Teachings // Inundated Archive;Waterlogged Teachings
Wear/Tear;Wear // Tear
Wedding Announcement // Wedding Festivity;Wedding Announcement
Wekhdu, Midnight Hunter;Swarm, Being of Bees
Westvale Abbey // Ormendahl, Profane Prince;Westvale Abbey
Witch Enchanter // Witch-Blessed Meadow;Witch Enchanter
With Great Power...;With Great Power . . .
Wonderweave Aerialist;Skyward Spider
Wrench, Speedway Saboteur;Black Cat, Cunning Thief
Xecau, Predation's Shadow;Rhino, Barreling Brute
Ya viene el coco;Tibalt's Trickery
Yera and Oski, Weaver and Guide;Arachne, Psionic Weaver
Zan, Tunnelweb Explorer;Spider-Man, Brooklyn Visionary
Zanarkand, Ancient Metropolis // Lasting Fayth;Zanarkand, Ancient Metropolis
Zenos yae Galvus // Shinryu, Transcendent Rival;Zenos yae Galvus
Zora, Spider Fancier;Aunt May
Zuko, Redeemed;Rhys the Redeemed
フェイタリズム;Arcane Denial
