A Premonition of Your Demise;Scheme;C;0;Duskmourn: House of Horror Commander (Common);1
Abrupt Decay;Instant;B/G;2;Return to Ravnica (Rare)/Modern Masters 2017 Edition (Rare)/Guild Kit: Golgari (Rare)/Time Spiral Remastered (Bonus)/Outlaws of Thunder Junction Breaking News (Rare);0
Absolute Grace;Enchantment;W;2;Urza's Saga (Uncommon);0
Absolute Law;Enchantment;W;2;Urza's Saga (Uncommon);0
Absolute Virtue;Legendary Creature - Avatar Warrior;W/U;8;Magic: The Gathering—FINAL FANTASY (Mythic Rare);1
Absorb;Instant;U/W;3;Invasion (Rare)/Ravnica Allegiance (Rare)/Dominaria Remastered (Rare);0
Abu Ja'far;Creature - Human;W;1;Arabian Nights (Uncommon)/Chronicles (Uncommon);0
Abuna's Chant;Instant;W;4;Fifth Dawn (Common);0
Abundance;Enchantment;G;4;Urza's Saga (Rare)/Tenth Edition (Rare)/Duel Decks: Nissa vs. Ob Nixilis (Rare)/Commander 2017 (Rare)/Zendikar Rising Commander (Rare)/Warhammer 40,000 Commander (Rare)/Commander Masters (Rare);0
Abundant Growth;Enchantment — Aura;G;1;Avacyn Restored (Common)/Eternal Masters (Common)/Adventures in the Forgotten Realms Commander (Common)/Dominaria United Commander (Common)/Magic The Gathering—Fallout (Common)/Innistrad Remastered (Common);0
Abyssal Gatekeeper;Creature — Horror;B;2;Weatherlight (Common)/Duel Decks: Divine vs. Demonic (Common)/Duel Decks Anthology, Divine vs. Demonic (Common);0
Abyssal Horror;Creature — Horror;B;6;Seventh Edition (Rare)/Urza's Saga (Rare)/Starter 1999 (Rare);0
Abyssal Hunter;Creature — Human Assassin;B;4;Classic Sixth Edition (Rare)/Mirage (Rare);0
Abyssal Nightstalker;Creature — Nightstalker;B;4;Portal Second Age (Uncommon);0
Abyssal Specter;Creature — Specter;B;4;Fifth Edition (Uncommon)/Classic Sixth Edition (Uncommon)/Seventh Edition (Uncommon)/Eighth Edition (Uncommon)/Ice Age (Uncommon)/Battle Royale Box Set (Uncommon)/Duel Decks: Divine vs. Demonic (Uncommon)/Duel Decks Anthology, Divine vs. Demonic (Uncommon)/Modern Masters 2017 Edition (Uncommon);0
Abzan Devotee;Creature — Dog Cleric;B;2;Tarkir: Dragonstorm (Common);2
Abzan Monument;Artifact;C;2;Tarkir: Dragonstorm (Uncommon);1
Academy Rector;Creature — Human Cleric;W;4;Urza's Destiny (Rare);0
Academy Researchers;Creature — Human Wizard;U;3;Urza's Saga (Uncommon)/Tenth Edition (Uncommon);0
Academy Ruins;Legendary Land;C;0;Time Spiral (Rare)/Modern Masters (Rare)/Double Masters (Rare)/Aetherdrift Commander (Rare);1
Accelerate;Instant;R;2;Torment (Common);0
Accelerated Mutation;Instant;G;5;Scourge (Common);0
Acceptable Losses;Sorcery;R;4;Odyssey (Common);0
Access Tunnel;Land;C;0;Strixhaven: School of Mages (Uncommon)/The Lord of the Rings: Tales of Middle Earth Commander (Uncommon)/Murders at Karlov Manor Commander (Uncommon)/Outlaws of Thunder Junction Commander (Uncommon)/Tarkir: Dragonstorm Commander (Uncommon);1
Accumulated Knowledge;Instant;U;2;Nemesis (Common)/Duel Decks: Elspeth vs. Kiora (Common)/Masters 25 (Common);0
Accursed Centaur;Creature — Zombie Centaur;B;1;Onslaught (Common);0
Accursed Duneyard;Land;C;0;Aetherdrift Commander (Rare);1
Accursed Marauder;Creature — Zombie Warrior;B;2;Modern Horizons 3 (Common);0
Acid Rain;Sorcery;U;4;Legends (Rare)/Masters Edition IV (Rare);0
Acidic Dagger;Artifact;C;4;Mirage (Rare);0
Acidic Sliver;Creature — Sliver;R/B;2;Stronghold (Uncommon)/Premium Deck Series: Slivers (Uncommon)/Tempest Remastered (Uncommon);0
Acidic Soil;Sorcery;R;3;Urza's Saga (Uncommon);0
Aclazotz, Deepest Betrayal;Legendary Creature — Bat God;B;5;The Lost Caverns of Ixalan (Mythic Rare);0
Acolyte of Bahamut;Legendary Enchantment — Background;G;2;Commander Legends: Battle for Baldur's Gate (Uncommon);0
Acorn Harvest;Sorcery;G;4;Torment (Common);0
Acquire;Sorcery;U;5;Fifth Dawn (Rare);0
Acquisition Octopus;Artifact Creature — Equipment Octopus;U;3;Kamigawa: Neon Dynasty (Uncommon);0
Acridian;Creature — Insect;G;2;Urza's Saga (Common);0
Acrobatic Cheerleader;Creature — Human Survivor;W;2;Duskmourn: House of Horror (Common);2
Active Volcano;Instant;R;1;Legends (Common)/Chronicles (Common)/Masters Edition III (Uncommon);0
Ad Nauseam;Instant;B;5;Shards of Alara (Rare)/Double Masters (Rare);0
Adagia, Windswept Bastion;Land - Planet;C;0;Edge of Eternities (Mythic Rare);3
Adamant Will;Instant;W;2;Dominaria (Common)/Innistrad: Crimson Vow (Common)/Magic: The Gathering Foundations (Common);1
Adamaro, First to Desire;Legendary Creature – Spirit;R;3;Saviors of Kamigawa (Rare);0
Adaptive Omnitool;Artifact — Equipment;C;2;Aetherdrift Commander (Rare);1
Adaptive Training Post;Artifact;U;3;Tarkir: Dragonstorm Commander (Rare);1
Adarkar Sentinel;Artifact Creature — Soldier;C;5;Ice Age (Uncommon)/Masters Edition II (Common);0
Adarkar Unicorn;Creature - Unicorn;W;3;Ice Age (Common);0
Adarkar Valkyrie;Snow Creature — Angel;W;6;Coldsnap (Rare)/Modern Masters (Rare)/Commander 2014 (Rare)/Commander 2018 (Rare);0
Adarkar Wastes;Land;C;0;Fifth Edition (Rare)/Classic Sixth Edition (Rare)/Seventh Edition (Rare)/Ninth Edition (Rare)/Ice Age (Rare)/Tenth Edition (Rare)/Dominaria United (Rare)/Modern Horizons 3 Commander (Rare)/Bloomburrow Commander (Rare)/Aetherdrift Commander (Rare)/Duskmourn: House of Horror Commander (Rare)/Tarkir: Dragonstorm Commander (Rare)/Edge of Eternities Commander (Rare);4
Addle;Sorcery;B;2;Invasion (Uncommon)/Vintage Masters (Common);0
Adelbert Steiner;Legendary Creature - Human Knight;W;2;Magic: The Gathering—FINAL FANTASY (Uncommon);2
Adeline, Resplendent Cathar;Legendary Creature — Human Knight;W;3;Innistrad: Midnight Hunt (Rare)/March of the Machine Commander (Rare)/Jumpstart 2025 (Rare)/Tarkir: Dragonstorm Commander (Rare);1
Adipose Offspring;Creature - Alien;W;4;Doctor Who Commander (Rare);0
Adorned Crocodile;Creature — Crocodile;B;5;Tarkir: Dragonstorm (Common);4
Adrenaline Jockey;Creature — Minotaur Pilot;R;3;Aetherdrift (Uncommon);1
Adun Oakenshield;Legendary Creature — Human Knight;R/G/B;3;Legends (Rare)/Masters Edition (Rare);0
Advance Scout;Creature - Human Soldier Scout;W;2;Tempest (Common)/Battle Royale Box Set (Common);0
Advanced Hoverguard;Creature — Drone;U;4;Fifth Dawn (Common);0
Adventurer's Airship;Artifact - Vehicle;C;3;Magic: The Gathering—FINAL FANTASY (Common);4
Adventurer's Inn;Land - Town;C;0;Magic: The Gathering—FINAL FANTASY (Common);3
Adventurers' Guildhouse;Land;C;0;Legends (Uncommon);0
Aegis of Honor;Enchantment;W;1;Odyssey (Rare);0
Aegis of the Meek;Artifact;C;3;Ice Age (Rare);0
Aegis Sculptor;Creature — Bird Wizard;U;4;Tarkir: Dragonstorm (Uncommon);2
Aeolipile;Artifact;C;2;Fallen Empires (Rare)/Masters Edition II (Common);0
Aerathi Berserker;Creature - Human Berserker;R;5;Legends (Uncommon);0
Aerial Caravan;Creature — Human Soldier;U;6;Mercadian Masques (Rare);0
Aerith Rescue Mission;Sorcery;W;4;Magic: The Gathering—FINAL FANTASY (Common);2
Aerith, Last Ancient;Legendary Creature - Human Cleric Druid;G/W;4;Magic: The Gathering—FINAL FANTASY Commander (Rare);1
Aeromunculus;Creature — Homunculus Mutant;G/U;3;Ravnica Allegiance (Common);0
Aesi, Tyrant of Gyre Strait;Legendary Creature — Serpent;G/U;6;Commander Legends (Mythic Rare)/Duskmourn: House of Horror Commander (Mythic Rare);1
Aesthir Glider;Artifact Creature — Bird Construct;C;3;Alliances (Common)/Masters Edition IV (Common)/Dominaria (Common);0
Aether Barrier;Enchantment;U;3;Nemesis (Rare);0
Aether Burst;Instant;U;2;Odyssey (Common);0
Aether Charge;Enchantment;R;5;Onslaught (Uncommon);0
Aether Flash;Enchantment;R;4;Classic Sixth Edition (Uncommon)/Seventh Edition (Uncommon)/Weatherlight (Uncommon);0
Aether Gale;Sorcery;U;5;Commander 2014 (Rare)/Explorers of Ixalan (Rare)/Commander 2018 (Rare)/Commander 2021 (Rare)/Commander Legends: Battle for Baldur's Gate (Rare)/Commander Masters (Uncommon)/Duskmourn: House of Horror Commander (Rare);1
Aether Hub;Land;C;0;Kaladesh (Uncommon)/Kaladesh Remastered (Uncommon)/Modern Horizons 3 Commander (Uncommon)/Aetherdrift Commander (Uncommon);1
Aether Mutation;Sorcery;G/U;5;Apocalypse (Uncommon)/Vintage Masters (Uncommon);0
Aether Rift;Enchantment;G/R;3;Invasion (Rare);0
Aether Shockwave;Instant;W;4;Saviors of Kamigawa (Uncommon);0
Aether Snap;Sorcery;B;5;Darksteel (Rare)/Commander 2014 (Rare)/Streets of New Capenna Commander (Rare);0
Aether Spellbomb;Artifact;C;1;Mirrodin (Common)/Archenemy (Common)/Duel Decks: Elspeth vs. Tezzeret (Common)/Modern Masters (Common)/Jumpstart (Common)/Jumpstart 2022 (Common);0
Aether Sting;Enchantment;R;4;Urza's Destiny (Uncommon);0
Aether Storm;Enchantment;U;4;Fifth Edition (Uncommon)/Homelands (Uncommon)/Masters Edition II (Uncommon);0
Aether Swooper;Creature — Vedalken Artificer;U;2;Aether Revolt (Common)/Kaladesh Remastered (Common);0
Aether Syphon;Artifact;U;3;Aetherdrift (Uncommon);1
Aether Tide;Sorcery;U;1;Exodus (Common);0
Aether Vial;Artifact;C;1;Darksteel (Uncommon)/From the Vault: Relics (Mythic Rare)/Modern Masters (Rare)/Masterpiece Series: Kaladesh Inventions (Special)/Iconic Masters (Rare)/Double Masters 2022 (Rare)/Mystery Booster 2: Convention Edition (Uncommon);0
Aetherborn Marauder;Creature — Aetherborn Rogue;B;4;Kaladesh (Uncommon)/Kaladesh Remastered (Uncommon)/Outlaws of Thunder Junction Commander (Uncommon);0
Aetherflux Conduit;Artifact;C;6;Aetherdrift Commander (Rare);1
Aetheric Amplifier;Artifact;C;3;Aetherdrift Commander (Rare);1
Aetherjacket;Artifact Creature — Thopter;C;3;Aetherdrift (Common);3
Aethersquall Ancient;Creature — Leviathan;U;7;Kaladesh (Rare)/Modern Horizons 3 Commander (Rare)/Aetherdrift Commander (Rare);1
Aethertide Whale;Creature — Whale;U;6;Aether Revolt (Rare)/Modern Horizons 3 Commander (Rare)/Aetherdrift Commander (Rare);1
Aetherwind Basker;Creature — Lizard;G;7;Aether Revolt (Mythic Rare)/Aetherdrift Commander (Mythic Rare);1
Aetherworks Marvel;Legendary Artifact;C;4;Kaladesh (Mythic Rare)/Kaladesh Remastered (Mythic Rare)/Modern Horizons 3 Commander (Mythic Rare)/Aetherdrift Commander (Mythic Rare);1
Affa Protector;Creature — Human Soldier Ally;W;3;Oath of the Gatewatch (Common);0
Afflict;Instant;B;3;Odyssey (Common)/Tenth Edition (Common);0
Afiya Grove;Enchantment;G;2;Mirage (Rare);0
Afterburner Expert;Creature — Goblin Artificer;G;3;Aetherdrift (Rare);1
Afterlife from the Loam;Sorcery;B;8;Tarkir: Dragonstorm Commander (Rare);1
Afterlife;Instant;W;3;Mirage (Uncommon)/Mercadian Masques (Uncommon)/Magic: The Gathering-Commander (Uncommon)/Vintage Masters (Common)/Commander 2014 (Uncommon);0
Aftermath Analyst;Creature — Elf Detective;G;2;Murders at Karlov Manor (Uncommon)/Edge of Eternities Commander (Uncommon);1
Aftershock;Sorcery;R;4;Tempest (Common)/Vintage Masters (Common)/Tempest Remastered (Common)/Jumpstart 2022 (Common);0
Ageless Entity;Creature — Elemental;G;5;Darksteel (Rare)/Duel Decks: Ajani vs. Nicol Bolas (Rare)/Commander 2021 (Rare);0
Ageless Sentinels;Creature — Wall;W;4;Scourge (Rare);0
Agency Outfitter;Creature — Sphinx Detective;U;6;Murders at Karlov Manor (Uncommon);0
Agent of Kotis;Creature — Human Rogue;U;2;Tarkir: Dragonstorm (Common);4
Agent of Shauku;Creature — Human Mercenary;B;2;Prophecy (Common);0
Agent of Stromgald;Creature — Human Knight;R;1;Alliances (Common);0
Agent of the Iron Throne;Legendary Enchantment — Background;B;3;Commander Legends: Battle for Baldur's Gate (Uncommon);1
Aggravated Assault;Enchantment;R;3;Onslaught (Rare)/Masterpiece Series: Amonkhet Invocations (Special)/Explorers of Ixalan (Rare)/Wilds of Eldraine Enchanting Tales (Rare);0
Aggression;Enchantment — Aura;R;3;Ice Age (Uncommon);0
Aggressive Mammoth;Creature — Elephant;G;6;Core Set 2019 (Rare)/Core Set 2020 (Rare)/Magic: The Gathering Foundations (Rare);1
Aggressive Negotiations;Sorcery;B;3;Tarkir: Dragonstorm (Common);4
Aggressive Urge;Instant;G;2;Invasion (Common)/Tenth Edition (Common)/Rivals of Ixalan (Common)/Jumpstart (Common);0
Agility;Enchantment — Aura;R;2;Mirage (Common);0
Agonizing Demise;Instant;B;4;Invasion (Common)/Duel Decks: Ajani vs. Nicol Bolas (Common);0
Agonizing Memories;Sorcery;B;4;Classic Sixth Edition (Uncommon)/Seventh Edition (Uncommon)/Weatherlight (Uncommon)/Tenth Edition (Uncommon);0
Agrus Kos, Wojek Veteran;Legendary Creature – Human Soldier;R/W;5;Ravnica: City of Guilds (Rare)/Guild Kit: Boros (Rare);0
Ahriman;Creature - Eye Horror;B;3;Magic: The Gathering—FINAL FANTASY (Common);2
Ainok Strike Leader;Creature — Dog Warrior;W;2;Tarkir: Dragonstorm Commander (Rare);1
Ainok Wayfarer;Creature — Dog Scout;G;2;Tarkir: Dragonstorm (Common);4
Air Bladder;Enchantment — Aura;U;1;Nemesis (Common);0
Air Elemental;Creature — Elemental;U;5;Limited Edition Alpha (Uncommon)/Limited Edition Beta (Uncommon)/Unlimited Edition (Uncommon)/Revised Edition (Uncommon)/Fourth Edition (Uncommon)/Fifth Edition (Uncommon)/Classic Sixth Edition (Uncommon)/Seventh Edition (Uncommon)/Eighth Edition (Uncommon)/Ninth Edition (Uncommon)/Tenth Edition (Uncommon)/Starter 1999 (Uncommon)/Battle Royale Box Set (Uncommon)/Beatdown Box Set (Uncommon)/Portal Second Age (Uncommon)/Duel Decks: Jace vs. Chandra (Uncommon)/Magic 2010 (Uncommon)/Masters Edition IV (Uncommon)/Duel Decks Anthology, Jace vs. Chandra (Uncommon)/Welcome Deck 2017 (Uncommon)/Ixalan (Uncommon)/Core Set 2019 (Uncommon)/Game Night (Uncommon)/Core Set 2020 (Uncommon)/Arena Base Set (Uncommon);0
Air Response Unit;Artifact — Vehicle;W;3;Aetherdrift (Uncommon);2
Airborne Aid;Sorcery;U;4;Onslaught (Common);0
Airdrop Condor;Creature — Bird;R;5;Onslaught (Uncommon);0
Airship Crash;Instant;G;3;Magic: The Gathering—FINAL FANTASY (Common);3
Aisling Leprechaun;Creature - Faerie;G;1;Legends (Common);0
Ajani's Pridemate;Creature — Cat Soldier;W;2;Magic 2011 (Uncommon)/Duel Decks: Ajani vs. Nicol Bolas (Uncommon)/Commander 2013 Edition (Uncommon)/Magic 2015 Core Set (Uncommon)/Iconic Masters (Uncommon)/Core Set 2019 (Uncommon)/War of the Spark (Uncommon)/Time Spiral Remastered (Bonus)/Jumpstart 2022 (Uncommon)/Ravnica Clue Edition (Uncommon)/Magic: The Gathering Foundations (Uncommon)/Jumpstart 2025 (Uncommon);1
Akki Avalanchers;Creature – Goblin Warrior;R;1;Champions of Kamigawa (Common);0
Akki Blizzard-Herder;Creature - Goblin Shaman;R;2;Betrayers of Kamigawa (Common);0
Akki Coalflinger;Creature — Goblin Shaman;R;3;Champions of Kamigawa (Uncommon)/Duel Decks: Elves vs. Goblins (Uncommon)/Duel Decks Anthology, Elves vs. Goblins (Uncommon);0
Akki Drillmaster;Creature – Goblin Shaman;R;3;Saviors of Kamigawa (Common);0
Akki Lavarunner;Creature – Goblin Warrior;R;4;Champions of Kamigawa (Rare);0
Akki Raider;Creature – Goblin Warrior;R;2;Betrayers of Kamigawa (Uncommon);0
Akki Rockspeaker;Creature – Goblin Shaman;R;2;Champions of Kamigawa (Common);0
Akki Underling;Creature — Goblin Warrior;R;2;Saviors of Kamigawa (Common);0
Akki Underminer;Creature – Goblin Rogue Shaman;R;4;Champions of Kamigawa (Uncommon);0
Akroma's Blessing;Instant;W;3;Onslaught (Uncommon)/Vintage Masters (Uncommon);0
Akroma's Devoted;Creature — Human Cleric;W;4;Legions (Uncommon);0
Akroma's Vengeance;Sorcery;W;6;Onslaught (Rare)/Planechase (Rare)/Magic: The Gathering-Commander (Rare)/From the Vault: Twenty (Mythic Rare)/Commander Anthology (Rare)/Masters 25 (Rare)/Commander 2018 (Rare)/Ikoria Commander (Rare);0
Akroma, Angel of Wrath (Vanguard);Vanguard;C;0;Vanguard (Special);0
Akroma, Angel of Wrath;Legendary Creature — Angel;W;8;Legions (Rare)/Time Spiral "Timeshifted" (Special)/Duel Decks: Divine vs. Demonic (Mythic Rare)/Duel Decks Anthology, Divine vs. Demonic (Mythic Rare)/From the Vault: Angels (Mythic Rare)/Masters 25 (Mythic Rare)/Ikoria Commander (Mythic Rare);0
Akron Legionnaire;Creature - Giant Soldier;W;8;Fifth Edition (Rare)/Legends (Rare)/Chronicles (Rare)/Masters Edition III (Rare);0
Aku Djinn;Creature — Djinn;B;5;Visions (Rare);0
Akuta, Born of Ash;Legendary Creature — Spirit;B;4;Saviors of Kamigawa (Rare);0
Al Bhed Salvagers;Creature - Human Artificer Warrior;B;3;Magic: The Gathering—FINAL FANTASY (Uncommon);4
Al-abara's Carpet;Artifact;C;5;Legends (Rare)/Masters Edition IV (Rare);0
Alabaster Dragon;Creature — Dragon;W;6;Weatherlight (Rare)/Portal (Rare);0
Alabaster Leech;Creature — Leech;W;1;Invasion (Rare);0
Alabaster Potion;Instant;W;2;Fourth Edition (Common)/Fifth Edition (Common)/Legends (Common)/Masters Edition III (Uncommon);0
Alabaster Wall;Creature — Wall;W;3;Mercadian Masques (Common);0
Alaborn Cavalier;Creature — Human Knight;W;4;Portal Second Age (Uncommon)/Duel Decks: Knights vs. Dragons (Uncommon);0
Alaborn Grenadier;Creature — Human Soldier;W;2;Portal Second Age (Common);0
Alaborn Musketeer;Creature — Human Soldier;W;2;Portal Second Age (Common)/Masters Edition IV (Common);0
Alaborn Trooper;Creature — Human Soldier;W;3;Portal Second Age (Common)/Masters Edition IV (Common);0
Alaborn Veteran;Creature — Human Knight;W;3;Portal Second Age (Rare);0
Alaborn Zealot;Creature — Human Soldier;W;1;Portal Second Age (Uncommon);0
Alacrian Armory;Artifact;W;4;Aetherdrift (Uncommon);2
Alacrian Jaguar;Creature — Cat Mount;G;5;Aetherdrift (Common);3
Aladdin's Lamp;Artifact;C;10;Revised Edition (Rare)/Fourth Edition (Rare)/Arabian Nights (Rare);0
Aladdin's Ring;Artifact;C;8;Revised Edition (Rare)/Fourth Edition (Rare)/Fifth Edition (Rare)/Classic Sixth Edition (Rare)/Seventh Edition (Rare)/Eighth Edition (Rare)/Ninth Edition (Rare)/Arabian Nights (Rare);0
Aladdin;Creature - Human Rogue;R;4;Arabian Nights (Rare)/Chronicles (Uncommon)/Masters Edition IV (Rare);0
Alania's Pathmaker;Creature — Otter Wizard;R;4;Bloomburrow (Common);0
Alarum;Instant;W;2;Mirage (Common);0
Albino Troll;Creature — Troll;G;2;Urza's Saga (Uncommon)/Duel Decks: Garruk vs. Liliana (Uncommon)/Duel Decks Anthology, Garruk vs. Liliana (Uncommon);0
Alchemist's Assistant;Creature — Monkey;B;2;Tarkir: Dragonstorm (Uncommon);2
Alchor's Tomb;Artifact;C;4;Legends (Rare)/Masters Edition IV (Rare);0
Aleatory;Instant;R;2;Mirage (Uncommon);0
Alert Shu Infantry;Creature — Human Soldier;W;3;Portal Three Kingdoms (Uncommon);0
Alesha's Legacy;Instant;B;2;Tarkir: Dragonstorm (Common);4
Alexi's Cloak;Enchantment — Aura;U;2;Prophecy (Common);0
Alexi, Zephyr Mage;Legendary Creature — Human Spellshaper;U;5;Prophecy (Rare);0
Ali Baba;Creature - Human Rogue;R;1;Fourth Edition (Uncommon)/Arabian Nights (Uncommon);0
Ali from Cairo;Creature - Human;R;4;Arabian Nights (Rare)/Masters Edition IV (Rare);0
Aliban's Tower;Instant;R;2;Homelands (Common);0
Alibou, Ancient Witness;Legendary Artifact Creature - Golem;R/W;5;Commander 2021 (Mythic Rare)/Edge of Eternities Commander (Mythic Rare);1
Aligned Heart;Enchantment;W;3;Tarkir: Dragonstorm Commander (Rare);1
Alisaie Leveilleur;Legendary Creature - Elf Wizard;W;3;Magic: The Gathering—FINAL FANTASY Commander (Rare);1
All Hallow's Eve;Sorcery;B;4;Legends (Rare)/Masters Edition III (Rare);0
All Suns' Dawn;Sorcery;G;5;Fifth Dawn (Rare)/Modern Masters 2015 Edition (Rare);0
All That Glitters;Enchantment — Aura;W;2;Throne of Eldraine (Uncommon)/Commander Masters (Common)/Magic The Gathering—Fallout (Common);0
All-Fates Scroll;Artifact;C;3;Edge of Eternities (Uncommon);2
All-Fates Stalker;Creature - Drix Assassin;W;4;Edge of Eternities (Uncommon);2
Allay;Instant;W;2;Exodus (Common);0
Alley Grifters;Creature — Human Mercenary;B;3;Mercadian Masques (Common);0
Allied Strategies;Sorcery;U;5;Planeshift (Uncommon)/Duel Decks: Phyrexia vs. the Coalition (Uncommon);0
Allosaurus Rider;Creature — Elf Warrior;G;7;Coldsnap (Rare)/Duel Decks: Elves vs. Goblins (Rare)/Duel Decks Anthology, Elves vs. Goblins (Rare);0
Alloy Golem;Artifact Creature — Golem;C;6;Invasion (Uncommon);0
Alluring Scent;Sorcery;G;3;Starter 1999 (Rare)/Portal (Rare)/Portal Second Age (Rare)/Masters Edition IV (Common);0
Alluring Siren;Creature — Siren;U;2;Magic 2010 (Uncommon)/Magic 2011 (Uncommon)/Magic 2012 (Uncommon);0
Almighty Brushwagg;Creature — Brushwagg;G;1;Ikoria: Lair of Behemoths (Common);0
Alms;Enchantment;W;1;Weatherlight (Common);0
Alpha Deathclaw;Creature — Lizard Mutant;B/G;6;Magic The Gathering—Fallout (Rare);0
Alpha Kavu;Creature — Kavu;G;3;Planeshift (Uncommon);0
Alpha Myr;Artifact Creature — Myr;C;2;Mirrodin (Common);0
Alpha Status;Enchantment — Aura;G;3;Scourge (Uncommon);0
Alpharael, Dreaming Acolyte;Legendary Creature - Human Cleric;U/B;3;Edge of Eternities (Uncommon);2
Alphinaud Leveilleur;Legendary Creature - Elf Wizard;U;4;Magic: The Gathering—FINAL FANTASY Commander (Rare);1
Alseid of Life's Bounty;Enchantment Creature — Nymph;W;1;Theros Beyond Death (Uncommon)/Jumpstart 2022 (Uncommon);0
Altanak, the Thrice-Called;Legendary Creature — Insect Beast;G;7;Duskmourn: House of Horror (Uncommon);0
Altar of Bone;Sorcery;G/W;2;Ice Age (Rare);0
Altar of Dementia;Artifact;C;2;Tempest (Rare)/Magic: The Gathering—Conspiracy (Rare)/Modern Horizons (Rare)/The Brothers' War Retro Artifacts (Mythic Rare);0
Altar of Shadows;Artifact;C;7;Mirrodin (Rare);0
Altar's Light;Instant;W;4;Mirrodin (Uncommon);0
Alter Reality;Instant;U;2;Torment (Rare);0
Altered Ego;Creature - Shapeshifter;G/U;4;Shadows over Innistrad (Rare)/Shadows Over Innistrad Remastered (Rare)/Innistrad Remastered (Rare)/Magic: The Gathering—FINAL FANTASY Commander (Rare);1
Aluren;Enchantment;G;4;Tempest (Rare)/Tempest Remastered (Rare);0
Ambassador Laquatus;Legendary Creature — Merfolk Wizard;U;3;Torment (Rare)/Tenth Edition (Rare);0
Amber Prison;Artifact;C;4;Classic Sixth Edition (Rare)/Mirage (Rare);0
Ambition's Cost;Sorcery;B;4;Eighth Edition (Uncommon)/Portal Three Kingdoms (Rare)/Commander 2015 (Uncommon)/Duel Decks: Nissa vs. Ob Nixilis (Uncommon)/Commander Anthology (Uncommon)/Commander 2017 (Uncommon)/Ikoria Commander (Uncommon)/Kaldheim Commander (Uncommon)/Commander 2021 (Uncommon)/Commander Legends: Battle for Baldur's Gate (Uncommon)/Alchemy Horizons: Baldur's Gate (Uncommon)/Dominaria United Commander (Uncommon)/March of the Machine Commander (Uncommon);1
Ambitious Dragonborn;Creature — Dragon Barbarian;G;4;Commander Legends: Battle for Baldur's Gate (Common)/Alchemy Horizons: Baldur's Gate (Common);1
Ambling Stormshell;Creature — Turtle;U;5;Tarkir: Dragonstorm (Rare);1
Ambrosia Whiteheart;Legendary Creature - Bird;W;2;Magic: The Gathering—FINAL FANTASY (Uncommon);2
Ambush Commander;Creature — Elf;G;5;Scourge (Rare)/Duel Decks: Elves vs. Goblins (Rare)/Duel Decks Anthology, Elves vs. Goblins (Rare);0
Ambush Party;Creature — Human Rogue;R;5;Fifth Edition (Common)/Homelands (Common)/Masters Edition II (Common);0
Ambush;Instant;R;4;Homelands (Common);0
Aminatou's Augury;Sorcery;U;8;Commander 2018 (Rare)/Commander Masters (Rare)/Duskmourn: House of Horror Commander (Rare);1
Aminatou, Veil Piercer;Legendary Creature — Human Wizard;B/U/W;4;Duskmourn: House of Horror Commander (Mythic Rare);1
Amnesia;Sorcery;U;6;The Dark (Uncommon)/Masters Edition (Rare);0
Amoeboid Changeling;Creature — Shapeshifter;U;2;Lorwyn (Common)/Premium Deck Series: Slivers (Common)/Jumpstart 2022 (Common);0
Amok;Enchantment;R;2;Stronghold (Rare);0
Amonkhet Raceway;Land;C;0;Aetherdrift (Uncommon);2
